EQUIPO,J,V,E,D,VC,EC,DC,VF,EF,DF,RVV,G,GC,GF,MPG,PEN,AG,GTIT,GSUP,V3,GS,GSC,GSF,GRUPO
Colombia,6,1,3,2,0,0,0,0,0,0,0,4,0,0,135,1,0,4,0,0,5,0,0,B
Paraguay,5,2,1,2,0,0,0,0,0,0,1,8,0,0,56,1,0,7,1,0,6,0,0,A
Brasil,6,5,1,0,0,0,0,0,0,0,1,12,0,0,45,1,0,7,5,2,2,0,0,B
Ecuador,5,0,3,2,0,0,0,0,0,0,0,5,0,0,90,0,1,2,2,0,9,0,0,B
Venezuela,4,0,2,2,0,0,0,0,0,0,0,2,0,0,180,0,0,1,1,0,6,0,0,B
Bolivia,4,0,0,4,0,0,0,0,0,0,0,2,0,0,180,1,0,2,0,0,10,0,0,A
Argentina,6,4,2,0,0,0,0,0,0,0,0,11,0,0,49,1,0,10,1,2,3,0,0,A
Chile,5,1,2,2,0,0,0,0,0,0,0,3,0,0,150,0,0,3,0,0,5,0,0,A
Uruguay,5,2,2,1,0,0,0,0,0,0,0,4,0,0,113,1,1,3,0,0,2,0,0,A
Perú,6,2,2,2,0,0,0,0,0,0,0,8,0,0,68,0,1,7,0,0,11,0,0,B
