Equipo,Partidos Jugados,Victorias,Empates,Derrotas,Victorias de local,Empates de local,Derrotas de local,Victorias de visita,Empates de visita,Derrotas de visita,Remontada,Goles marcados,Goles de local,Goles de visita,Promedio de minutos para anotar,Goles de penal,Autogoles,Goles marcados por titulares,Goles marcados por suplentes,Victorias mayores a 3 goles,Goles recibidos,Goles recibidos de local,Goles recibidos de visita
Argentina,6,3,3,0,1,2,0,2,1,0,1,9,3,6,60,2,0,8,1,0,5,2,3
Bolivia,6,1,2,3,1,0,2,0,2,1,0,9,6,3,60,1,0,9,0,0,14,6,8
Brasil,6,6,0,0,3,0,0,3,0,0,1,16,8,8,34,3,1,14,1,1,2,0,2
Chile,6,1,3,2,1,2,0,0,1,2,0,8,5,3,68,1,0,8,0,0,8,3,5
Colombia,6,2,2,2,1,1,1,1,1,1,0,11,5,6,49,2,0,8,2,2,13,5,8
Ecuador,6,3,0,3,2,0,1,1,0,2,1,14,11,3,39,1,0,11,3,1,10,5,5
Paraguay,6,1,4,1,0,2,1,1,2,0,0,6,4,2,90,2,0,3,3,0,7,6,1
Perú,6,1,1,4,0,0,3,1,1,1,0,6,2,4,90,0,0,6,0,0,14,9,5
Uruguay,6,2,2,2,1,1,1,1,1,1,0,7,2,5,77,4,0,5,2,1,7,3,4
Venezuela,6,1,1,4,1,1,1,0,0,3,0,3,2,1,180,0,0,3,0,0,9,2,7
