Jornada,Fecha,Local,GolLocal,GolVisita,Visita,Obs1,Obs2,Obs3,Obs4
J1,19/02,UniversidadCatolica,3,0,Olmedo,Porperdido,,,FG
J1,20/02,LDUQuito,4,2,NuevedeOctubre,,,,FG
J1,20/02,MushucRuna,1,3,Aucas,,,,FG
J1,20/02,GuayaquilCity,3,1,Macará,,,,FG
J1,21/02,MantaFC,2,3,BarcelonaSC,,,,FG
J1,21/02,OrenseSC,2,0,IndependientedelValle,,,,FG
J1,21/02,TécnicoUniv,0,1,DelfínSC,,,,FG
J1,21/02,Emelec,4,1,DeportivoCuenca
J2,27/02,DeportivoCuenca,3,0,GuayaquilCity,,,,FG
J2,27/02,UniversidadCatolica,3,3,MantaFC,,,,FG
J2,27/02,Macará,3,1,IndependientedelValle,,,,FG
J2,28/02,Aucas,2,3,Emelec,,,,FG
J2,28/02,NuevedeOctubre,1,2,MushucRuna,,,,FG
J2,28/02,Olmedo,0,0,LDUQuito,,,,FG
J2,28/02,BarcelonaSC,3,0,TécnicoUniv,,,,FG
J2,02/03,DelfínSC,1,1,OrenseSC
J3,06/03,IndependientedelValle,2,0,MushucRuna,,,,FG
J3,06/03,OrenseSC,2,2,Aucas,,,,FG
J3,06/03,LDUQuito,2,1,UniversidadCatolica,,,,FG
J3,07/03,Emelec,1,0,DelfínSC,,,,FG
J3,07/03,Olmedo,0,2,Macará,,,,FG
J3,07/03,MantaFC,1,0,DeportivoCuenca,,,,FG
J3,07/03,GuayaquilCity,0,3,BarcelonaSC,,,,FG
J3,09/03,TécnicoUniv,0,0,NuevedeOctubre
J4,12/03,Macará,1,1,Emelec,,,,FG
J4,13/03,DeportivoCuenca,2,2,LDUQuito,,,,FG
J4,13/03,UniversidadCatolica,1,1,TécnicoUniv,,,,FG
J4,13/03,DelfínSC,1,1,GuayaquilCity,,,,FG
J4,14/03,Aucas,3,4,IndependientedelValle,,,,FG
J4,14/03,MushucRuna,4,2,MantaFC,,,,FG
J4,14/03,NuevedeOctubre,2,0,Olmedo,,,,FG
J4,14/03,BarcelonaSC,2,0,OrenseSC
J5,20/03,TécnicoUniv,0,0,Olmedo,,,,FG
J5,20/03,MushucRuna,0,0,Macará,,,,FG
J5,20/03,IndependientedelValle,2,0,DelfínSC,,,,FG
J5,20/03,LDUQuito,2,2,BarcelonaSC,,,,FG
J5,21/03,MantaFC,1,1,Aucas,,,,FG
J5,21/03,GuayaquilCity,1,2,UniversidadCatolica,,,,FG
J5,21/03,Emelec,0,1,NuevedeOctubre,,,,FG
J5,23/03,DeportivoCuenca,1,0,OrenseSC
J6,01/04,UniversidadCatolica,1,1,Macará,,,,FG
J6,02/04,Olmedo,2,3,Emelec,,,,FG
J6,03/04,DelfínSC,1,1,DeportivoCuenca,,,,FG
J6,03/04,LDUQuito,0,0,MushucRuna,,,,FG
J6,03/04,BarcelonaSC,2,2,IndependientedelValle,,,,FG
J6,04/04,OrenseSC,0,1,MantaFC,,,,FG
J6,04/04,NuevedeOctubre,1,3,Aucas,,,,FG
J6,04/04,TécnicoUniv,3,0,GuayaquilCity
J7,31/03,Aucas,3,3,DelfínSC,,,,FG
J7,31/03,GuayaquilCity,4,1,OrenseSC,,,,FG
J7,08/04,MushucRuna,4,0,Olmedo,,,,FG
J7,08/04,DeportivoCuenca,1,0,BarcelonaSC,,,,FG
J7,09/04,MantaFC,0,2,TécnicoUniv,,,,FG
J7,10/04,Macará,3,2,NuevedeOctubre,,,,FG
