Jornada	Fecha	Local	GL	GV	Visita	OBS1	OBS2	OBS3	FG
1	25/02	Deportivo Cuenca	2	0	LDU Quito				FG
1	25/02	Independiente del Valle	3	1	Mushuc Runa				FG
1	25/02	Guayaquil City	1	1	Cumbayá FC				FG
1	26/02	Gualaceo SC	2	1	Barcelona SC				FG
1	26/02	Técnico Universitario	4	1	Universidad Católica				FG
1	26/02	Aucas	0	2	Nacional				FG
1	27/02	Emelec	2	0	Libertad de Loja				FG
1	28/02	Delfín SC	1	1	Orense SC
2	04/03	Libertad de Loja	3	1	Deportivo Cuenca				FG
2	04/03	Nacional	3	2	Técnico Universitario			FG
2	04/03	LDU Quito	1	1	Aucas				FG
2	05/03	Barcelona SC	5	0	Delfín SC				FG
2	05/03	Mushuc Runa	2	1	Gualaceo SC				FG
2	05/03	Universidad Católica	3	0	Guayaquil City				FG
2	06/03	Orense SC	2	1	Emelec				FG
2	07/03	Cumbayá FC	1	0	Independiente del Valle				FG
3	18/03	Gualaceo SC	2	1	Orense SC				FG
3	18/03	Delfín SC	3	2	Libertad de Loja			FG
3	18/03	Guayaquil City	4	1	Mushuc Runa				FG
3	19/03	Independiente del Valle	1	0	Barcelona SC				FG
3	19/03	Aucas	4	1	Universidad Católica				FG
3	19/03	Nacional	0	2	LDU Quito				FG
3	20/03	Emelec	1	0	Técnico Universitario				FG
3	21/03	Deportivo Cuenca	1	0	Cumbayá FC				FG
4	31/03	Universidad Católica	2	3	Independiente del Valle				FG
4	01/04	LDU Quito	6	1	Gualaceo SC			FG
4	01/04	Libertad de Loja	2	2	Aucas				FG
4	01/04	Barcelona SC	1	0	Mushuc Runa				FG
4	02/04	Delfín SC	3	2	Emelec				FG
4	02/04	Técnico Universitario	3	0	Deportivo Cuenca				FG
4	02/04	Cumbayá FC	2	0	Nacional				FG
4	03/04	Orense SC	3	2	Guayaquil City				FG
5	08/04	Orense SC	2	0	Deportivo Cuenca				FG
5	08/04	Gualaceo SC	1	1	Técnico Universitario			FG
5	08/04	Nacional	1	2	Universidad Católica				FG
5	09/04	Independiente del Valle	3	0	Delfín SC				FG
5	09/04	Mushuc Runa	2	1	Libertad de Loja				FG
5	09/04	Guayaquil City	1	2	LDU Quito				FG
5	10/04	Aucas	2	1	Emelec				FG
5	11/04	Barcelona SC	4	1	Cumbayá FC				FG
6	08/04	Libertad de Loja	0	0	Independiente del Valle				FG
6	08/04	Técnico Universitario	0	1	Aucas			FG
6	08/04	Deportivo Cuenca	4	1	Guayaquil City				FG
6	09/04	LDU Quito	0	1	Barcelona SC				FG
6	09/04	Cumbayá FC	1	0	Gualaceo SC				FG
6	09/04	Delfín SC	3	0	Mushuc Runa				FG
6	10/04	Emelec	1	2	Nacional				FG
6	11/04	Universidad Católica	1	1	Orense SC				FG
