Nombre,Rank,Fecha
France,1,16082018
Belgium,2,16082018
Brazil,3,16082018
Croatia,4,16082018
Uruguay,5,16082018
England,6,16082018
Portugal,7,16082018
Switzerland,8,16082018
Denmark,9,16082018
Spain,10,16082018
Argentina,11,16082018
Chile,12,16082018
Sweden,13,16082018
Colombia,14,16082018
Germany,15,16082018
Mexico,16,16082018
Netherlands,17,16082018
Poland,18,16082018
Wales,19,16082018
Peru,20,16082018
Italy,21,16082018
USA,22,16082018
Austria,23,16082018
Tunisia,24,16082018
Senegal,25,16082018
Slovakia,26,16082018
Northern Ireland,27,16082018
Romania,28,16082018
Republic of Ireland,29,16082018
Paraguay,30,16082018
Venezuela,31,16082018
Costa Rica,32,16082018
IR Iran,33,16082018
Iceland,34,16082018
Ukraine,35,16082018
Serbia,36,16082018
Congo DR,37,16082018
Turkey,38,16082018
Bosnia and Herzegovina,39,16082018
Scotland,40,16082018
Montenegro,41,16082018
Greece,42,16082018
Australia,43,16082018
Czech Republic,44,16082018
Ghana,45,16082018
Morocco,46,16082018
Cameroon,47,16082018
Bulgaria,48,16082018
Russia,49,16082018
Nigeria,50,16082018
Hungary,51,16082018
Burkina Faso,52,16082018
Norway,53,16082018
Jamaica,54,16082018
Slovenia,55,16082018
Japan,56,16082018
Korea Republic,57,16082018
Albania,58,16082018
Bolivia,59,16082018
Ecuador,60,16082018
Honduras,61,16082018
Finland,62,16082018
Mali,63,16082018
Cape Verde Islands,64,16082018
Egypt,65,16082018
Algeria,66,16082018
Côte d'Ivoire,67,16082018
Guinea,68,16082018
Panama,69,16082018
Saudi Arabia,70,16082018
FYR Macedonia,71,16082018
El Salvador,72,16082018
Syria,73,16082018
South Africa,74,16082018
China PR,75,16082018
Zambia,76,16082018
United Arab Emirates,77,16082018
Belarus,78,16082018
Canada,79,16082018
Lebanon,80,16082018
Curacao,81,16082018
Uganda,82,16082018
Congo,83,16082018
Oman,84,16082018
Luxembourg,85,16082018
Gabon,86,16082018
Cyprus,87,16082018
Benin,88,16082018
Iraq,89,16082018
Faroe Islands,90,16082018
Trinidad and Tobago,91,16082018
Kyrgyz Republic,92,16082018
Israel,93,16082018
Estonia,94,16082018
Uzbekistan,95,16082018
Georgia,96,16082018
India,97,16082018
Qatar,98,16082018
Palestine,99,16082018
Armenia,100,16082018
