Nombre,Rank,Fecha
Belgium,1,10122020
France,2,10122020
Brazil,3,10122020
England,4,10122020
Portugal,5,10122020
Spain,6,10122020
Argentina,7,10122020
Uruguay,8,10122020
Mexico,9,10122020
Italy,10,10122020
Croatia,11,10122020
Denmark,12,10122020
Germany,13,10122020
Netherlands,14,10122020
Colombia,15,10122020
Switzerland,16,10122020
Chile,17,10122020
Wales,18,10122020
Poland,19,10122020
Senegal,20,10122020
Sweden,21,10122020
USA,22,10122020
Austria,23,10122020
Ukraine,24,10122020
Peru,25,10122020
Tunisia,26,10122020
Japan,27,10122020
Venezuela,28,10122020
IR Iran,29,10122020
Serbia,30,10122020
Algeria,31,10122020
Turkey,32,10122020
Slovakia,33,10122020
Paraguay,34,10122020
Morocco,35,10122020
Nigeria,36,10122020
Romania,37,10122020
Korea Republic,38,10122020
Russia,39,10122020
Hungary,40,10122020
Australia,41,10122020
Czech Republic,42,10122020
Republic of Ireland,43,10122020
Norway,44,10122020
Northern Ireland,45,10122020
Iceland,46,10122020
Jamaica,47,10122020
Scotland,48,10122020
Egypt,49,10122020
Cameroon,50,10122020
Costa Rica,51,10122020
Ghana,52,10122020
Greece,53,10122020
Finland,54,10122020
Bosnia and Herzegovina,55,10122020
Ecuador,56,10122020
Mali,57,10122020
Burkina Faso,58,10122020
Qatar,59,10122020
Congo DR,60,10122020
Côte d'Ivoire,61,10122020
Slovenia,62,10122020
Montenegro,63,10122020
Honduras,64,10122020
North Macedonia,65,10122020
Albania,66,10122020
Saudi Arabia,67,10122020
Bulgaria,68,10122020
Iraq,69,10122020
El Salvador,70,10122020
South Africa,71,10122020
Canada,72,10122020
Guinea,73,10122020
United Arab Emirates,74,10122020
China PR,75,10122020
Curaçao,76,10122020
Syria,77,10122020
Panama,78,10122020
Uganda,79,10122020
Bolivia,80,10122020
Cabo Verde,81,10122020
Oman,82,10122020
Benin,83,10122020
Haiti,84,10122020
Uzbekistan,85,10122020
Gabon,86,10122020
Israel,87,10122020
Belarus,88,10122020
Georgia,89,10122020
Zambia,90,10122020
Congo,91,10122020
Lebanon,92,10122020
Vietnam,93,10122020
Madagascar,94,10122020
Jordan,95,10122020
Kyrgyz Republic,96,10122020
Bahrain,97,10122020
Luxembourg,98,10122020
Armenia,99,10122020
Cyprus,100,10122020
