Nombre,Rank,Fecha
Belgium,1,7022019
France,2,7022019
Brazil,3,7022019
Croatia,4,7022019
England,5,7022019
Portugal,6,7022019
Uruguay,7,7022019
Switzerland,8,7022019
Spain,9,7022019
Denmark,10,7022019
Argentina,11,7022019
Colombia,12,7022019
Chile,13,7022019
Sweden,14,7022019
Netherlands,15,7022019
Germany,16,7022019
Mexico,17,7022019
Italy,18,7022019
Wales,19,7022019
Poland,20,7022019
Peru,21,7022019
IR Iran,22,7022019
Austria,23,7022019
Senegal,24,7022019
USA,25,7022019
Romania,26,7022019
Japan,27,7022019
Tunisia,28,7022019
Slovakia,29,7022019
Ukraine,30,7022019
Serbia,31,7022019
Venezuela,32,7022019
Paraguay,33,7022019
Republic of Ireland,34,7022019
Bosnia and Herzegovina,35,7022019
Northern Ireland,36,7022019
Costa Rica,37,7022019
Korea Republic,38,7022019
Iceland,39,7022019
Scotland,40,7022019
Turkey,41,7022019
Australia,42,7022019
Morocco,43,7022019
Czech Republic,44,7022019
Greece,45,7022019
Nigeria,46,7022019
Montenegro,47,7022019
Bulgaria,48,7022019
Norway,49,7022019
Russia,50,7022019
Congo DR,51,7022019
Hungary,52,7022019
Ghana,53,7022019
Jamaica,54,7022019
Qatar,55,7022019
Cameroon,56,7022019
Egypt,57,7022019
Ecuador,58,7022019
Finland,59,7022019
Bolivia,60,7022019
Albania,61,7022019
Burkina Faso,62,7022019
Slovenia,63,7022019
Honduras,64,7022019
Mali,65,7022019
Côte d'Ivoire,66,7022019
United Arab Emirates,67,7022019
Guinea,68,7022019
Algeria,69,7022019
Saudi Arabia,70,7022019
FYR Macedonia,71,7022019
China PR,72,7022019
El Salvador,73,7022019
South Africa,74,7022019
Cape Verde Islands,75,7022019
Panama,76,7022019
Uganda,77,7022019
Belarus,78,7022019
Canada,79,7022019
Iraq,80,7022019
Curacao,81,7022019
Zambia,82,7022019
Syria,83,7022019
Congo,84,7022019
Lebanon,85,7022019
Gabon,86,7022019
Luxembourg,87,7022019
Cyprus,88,7022019
Uzbekistan,89,7022019
Oman,90,7022019
Georgia,91,7022019
Israel,92,7022019
Trinidad and Tobago,93,7022019
Benin,94,7022019
Kyrgyz Republic,95,7022019
Estonia,96,7022019
Faroe Islands,97,7022019
Jordan,98,7022019
Vietnam,99,7022019
Palestine,100,7022019
