Nombre,Rank,Fecha
Belgium,1,9042020
France,2,9042020
Brazil,3,9042020
England,4,9042020
Uruguay,5,9042020
Croatia,6,9042020
Portugal,7,9042020
Spain,8,9042020
Argentina,9,9042020
Colombia,10,9042020
Mexico,11,9042020
Switzerland,12,9042020
Italy,13,9042020
Netherlands,14,9042020
Germany,15,9042020
Denmark,16,9042020
Chile,17,9042020
Sweden,18,9042020
Poland,19,9042020
Senegal,20,9042020
Peru,21,9042020
USA,22,9042020
Wales,23,9042020
Ukraine,24,9042020
Venezuela,25,9042020
Austria,26,9042020
Tunisia,27,9042020
Japan,28,9042020
Turkey,29,9042020
Serbia,30,9042020
Nigeria,31,9042020
Slovakia,32,9042020
IR Iran,33,9042020
Republic of Ireland,34,9042020
Algeria,35,9042020
Northern Ireland,36,9042020
Romania,37,9042020
Russia,38,9042020
Iceland,39,9042020
Korea Republic,40,9042020
Paraguay,41,9042020
Australia,42,9042020
Morocco,43,9042020
Norway,44,9042020
Czech Republic,45,9042020
Costa Rica,46,9042020
Ghana,47,9042020
Jamaica,48,9042020
Bosnia and Herzegovina,49,9042020
Scotland,50,9042020
Egypt,51,9042020
Hungary,52,9042020
Cameroon,53,9042020
Greece,54,9042020
Qatar,55,9042020
Mali,56,9042020
Congo DR,57,9042020
Finland,58,9042020
Burkina Faso,59,9042020
Bulgaria,60,9042020
Côte d'Ivoire,61,9042020
Honduras,62,9042020
Ecuador,63,9042020
Slovenia,64,9042020
Montenegro,65,9042020
Albania,66,9042020
Saudi Arabia,67,9042020
North Macedonia,68,9042020
El Salvador,69,9042020
Iraq,70,9042020
United Arab Emirates,71,9042020
South Africa,72,9042020
Canada,73,9042020
Guinea,74,9042020
Bolivia,75,9042020
China PR,76,9042020
Uganda,77,9042020
Cabo Verde,78,9042020
Syria,79,9042020
Curaçao,80,9042020
Panama,81,9042020
Oman,82,9042020
Gabon,83,9042020
Benin,84,9042020
Uzbekistan,85,9042020
Haiti,86,9042020
Belarus,87,9042020
Zambia,88,9042020
Congo,89,9042020
Lebanon,90,9042020
Madagascar,91,9042020
Georgia,92,9042020
Israel,93,9042020
Vietnam,94,9042020
Cyprus,95,9042020
Kyrgyz Republic,96,9042020
Jordan,97,9042020
Luxembourg,98,9042020
Bahrain,99,9042020
Mauritania,100,9042020
