Nombre,Rank,Fecha
Belgium,1,12082021
Brazil,2,12082021
France,3,12082021
England,4,12082021
Italy,5,12082021
Argentina,6,12082021
Spain,7,12082021
Portugal,8,12082021
Mexico,9,12082021
USA,10,12082021
Denmark,11,12082021
Netherlands,12,12082021
Uruguay,13,12082021
Switzerland,14,12082021
Colombia,15,12082021
Germany,16,12082021
Sweden,17,12082021
Croatia,18,12082021
Wales,19,12082021
Chile,20,12082021
Senegal,21,12082021
Peru,22,12082021
Austria,23,12082021
Japan,24,12082021
Ukraine,25,12082021
IR Iran,26,12082021
Poland,27,12082021
Tunisia,28,12082021
Serbia,29,12082021
Algeria,30,12082021
Czech Republic,31,12082021
Morocco,32,12082021
Paraguay,33,12082021
Nigeria,34,12082021
Australia,35,12082021
Korea Republic,36,12082021
Hungary,37,12082021
Slovakia,38,12082021
Turkey,39,12082021
Venezuela,40,12082021
Russia,41,12082021
Qatar,42,12082021
Norway,43,12082021
Costa Rica,44,12082021
Romania,45,12082021
Egypt,46,12082021
Republic of Ireland,47,12082021
Greece,48,12082021
Scotland,49,12082021
Jamaica,50,12082021
Northern Ireland,51,12082021
Ghana,52,12082021
Iceland,53,12082021
Cameroon,54,12082021
Ecuador,55,12082021
Finland,56,12082021
Côte d'Ivoire,57,12082021
Bosnia and Herzegovina,58,12082021
Canada,59,12082021
Mali,60,12082021
Saudi Arabia,61,12082021
Burkina Faso,62,12082021
Honduras,63,12082021
El Salvador,64,12082021
Congo DR,65,12082021
Slovenia,66,12082021
Montenegro,67,12082021
United Arab Emirates,68,12082021
Albania,69,12082021
Iraq,70,12082021
China PR,71,12082021
North Macedonia,72,12082021
South Africa,73,12082021
Panama,74,12082021
Bulgaria,75,12082021
Guinea,76,12082021
Cabo Verde,77,12082021
Curaçao,78,12082021
Oman,79,12082021
Syria,80,12082021
Israel,81,12082021
Bolivia,82,12082021
Uzbekistan,83,12082021
Uganda,84,12082021
Gabon,85,12082021
Benin,86,12082021
Zambia,87,12082021
Armenia,88,12082021
Belarus,89,12082021
Haiti,90,12082021
Georgia,91,12082021
Vietnam,92,12082021
Congo,93,12082021
Bahrain,94,12082021
Jordan,95,12082021
Luxembourg,96,12082021
Madagascar,97,12082021
Lebanon,98,12082021
Cyprus,99,12082021
Mauritania,100,12082021
