Nombre,Rank,Fecha
Belgium,1,19122019
France,2,19122019
Brazil,3,19122019
England,4,19122019
Uruguay,5,19122019
Croatia,6,19122019
Portugal,7,19122019
Spain,8,19122019
Argentina,9,19122019
Colombia,10,19122019
Mexico,11,19122019
Switzerland,12,19122019
Italy,13,19122019
Netherlands,14,19122019
Germany,15,19122019
Denmark,16,19122019
Sweden,17,19122019
Chile,18,19122019
Poland,19,19122019
Senegal,20,19122019
Peru,21,19122019
USA,22,19122019
Wales,23,19122019
Ukraine,24,19122019
Venezuela,25,19122019
Austria,26,19122019
Tunisia,27,19122019
Japan,28,19122019
Turkey,29,19122019
Serbia,30,19122019
Nigeria,31,19122019
Slovakia,32,19122019
IR Iran,33,19122019
Republic of Ireland,34,19122019
Algeria,35,19122019
Northern Ireland,36,19122019
Romania,37,19122019
Russia,38,19122019
Iceland,39,19122019
Korea Republic,40,19122019
Paraguay,41,19122019
Australia,42,19122019
Morocco,43,19122019
Norway,44,19122019
Czech Republic,45,19122019
Costa Rica,46,19122019
Ghana,47,19122019
Jamaica,48,19122019
Bosnia and Herzegovina,49,19122019
Scotland,50,19122019
Egypt,51,19122019
Hungary,52,19122019
Cameroon,53,19122019
Greece,54,19122019
Qatar,55,19122019
Mali,56,19122019
Congo DR,57,19122019
Finland,58,19122019
Bulgaria,59,19122019
Burkina Faso,60,19122019
Côte d'Ivoire,61,19122019
Honduras,62,19122019
Ecuador,63,19122019
Montenegro,64,19122019
Slovenia,65,19122019
Albania,66,19122019
Saudi Arabia,67,19122019
North Macedonia,68,19122019
El Salvador,69,19122019
Iraq,70,19122019
South Africa,71,19122019
United Arab Emirates,72,19122019
Canada,73,19122019
Guinea,74,19122019
Bolivia,75,19122019
China PR,76,19122019
Uganda,77,19122019
Cabo Verde,78,19122019
Syria,79,19122019
Curaçao,80,19122019
Panama,81,19122019
Oman,82,19122019
Gabon,83,19122019
Benin,84,19122019
Uzbekistan,85,19122019
Haiti,86,19122019
Belarus,87,19122019
Zambia,88,19122019
Congo,89,19122019
Lebanon,90,19122019
Madagascar,91,19122019
Georgia,92,19122019
Israel,93,19122019
Vietnam,94,19122019
Cyprus,95,19122019
Kyrgyz Republic,96,19122019
Jordan,97,19122019
Luxembourg,98,19122019
Bahrain,99,19122019
Mauritania,100,19122019
