Nombre,Rank,Fecha
Belgium,1,10022022
Brazil,2,10022022
France,3,10022022
Argentina,4,10022022
England,5,10022022
Italy,6,10022022
Spain,7,10022022
Portugal,8,10022022
Denmark,9,10022022
Netherlands,10,10022022
Germany,11,10022022
Mexico,12,10022022
USA,13,10022022
Switzerland,14,10022022
Croatia,15,10022022
Uruguay,16,10022022
Sweden,17,10022022
Senegal,18,10022022
Colombia,19,10022022
Wales,20,10022022
IR Iran,21,10022022
Peru,22,10022022
Japan,23,10022022
Morocco,24,10022022
Serbia,25,10022022
Chile,26,10022022
Ukraine,27,10022022
Poland,28,10022022
Korea Republic,29,10022022
Austria,30,10022022
Czech Republic,31,10022022
Nigeria,32,10022022
Canada,33,10022022
Egypt,34,10022022
Russia,35,10022022
Tunisia,36,10022022
Australia,37,10022022
Cameroon,38,10022022
Turkey,39,10022022
Scotland,40,10022022
Hungary,41,10022022
Costa Rica,42,10022022
Algeria,43,10022022
Ecuador,44,10022022
Norway,45,10022022
Slovakia,46,10022022
Romania,47,10022022
Mali,48,10022022
Republic of Ireland,49,10022022
Paraguay,50,10022022
Côte d'Ivoire,51,10022022
Qatar,52,10022022
Saudi Arabia,53,10022022
Northern Ireland,54,10022022
Greece,55,10022022
Burkina Faso,56,10022022
Finland,57,10022022
Venezuela,58,10022022
Bosnia and Herzegovina,59,10022022
Iceland,60,10022022
Ghana,61,10022022
Jamaica,62,10022022
Panama,63,10022022
Slovenia,64,10022022
Albania,65,10022022
Congo DR,66,10022022
North Macedonia,67,10022022
South Africa,68,10022022
United Arab Emirates,69,10022022
El Salvador,70,10022022
Bulgaria,71,10022022
Montenegro,72,10022022
Cabo Verde,73,10022022
Iraq,74,10022022
China PR,75,10022022
Bolivia,76,10022022
Israel,77,10022022
Honduras,78,10022022
Oman,79,10022022
Curaçao,80,10022022
Guinea,81,10022022
Gabon,82,10022022
Benin,83,10022022
Uganda,84,10022022
Uzbekistan,85,10022022
Georgia,86,10022022
Haiti,87,10022022
Zambia,88,10022022
Bahrain,89,10022022
Jordan,90,10022022
Syria,91,10022022
Armenia,92,10022022
Luxembourg,93,10022022
Belarus,94,10022022
Lebanon,95,10022022
Kyrgyz Republic,96,10022022
Congo,97,10022022
Vietnam,98,10022022
Equatorial Guinea,99,10022022
Palestine,100,10022022
