Nombre,Rank,Fecha
Belgium,1,25072019
Brazil,2,25072019
France,3,25072019
England,4,25072019
Uruguay,5,25072019
Portugal,6,25072019
Croatia,7,25072019
Colombia,8,25072019
Spain,9,25072019
Argentina,10,25072019
Switzerland,11,25072019
Mexico,12,25072019
Denmark,13,25072019
Chile,14,25072019
Germany,15,25072019
Italy,16,25072019
Netherlands,17,25072019
Sweden,18,25072019
Peru,19,25072019
Poland,20,25072019
Senegal,21,25072019
USA,22,25072019
IR Iran,23,25072019
Wales,24,25072019
Ukraine,25,25072019
Venezuela,26,25072019
Austria,27,25072019
Romania,28,25072019
Tunisia,29,25072019
Northern Ireland,30,25072019
Slovakia,31,25072019
Republic of Ireland,32,25072019
Nigeria,33,25072019
Japan,34,25072019
Serbia,35,25072019
Iceland,36,25072019
Korea Republic,37,25072019
Turkey,38,25072019
Paraguay,39,25072019
Algeria,40,25072019
Morocco,41,25072019
Bosnia and Herzegovina,42,25072019
Czech Republic,43,25072019
Costa Rica,44,25072019
Hungary,45,25072019
Australia,46,25072019
Russia,47,25072019
Scotland,48,25072019
Egypt,49,25072019
Norway,50,25072019
Ghana,51,25072019
Jamaica,52,25072019
Cameroon,53,25072019
Greece,54,25072019
Montenegro,55,25072019
Congo DR,56,25072019
Côte d'Ivoire,57,25072019
Finland,58,25072019
Mali,59,25072019
Bulgaria,60,25072019
Burkina Faso,61,25072019
Qatar,62,25072019
Slovenia,63,25072019
Albania,64,25072019
United Arab Emirates,65,25072019
Ecuador,66,25072019
Honduras,67,25072019
Saudi Arabia,68,25072019
El Salvador,69,25072019
South Africa,70,25072019
China PR,71,25072019
North Macedonia,72,25072019
Bolivia,73,25072019
Panama,74,25072019
Guinea,75,25072019
Cape Verde Islands,76,25072019
Iraq,77,25072019
Canada,78,25072019
Curacao,79,25072019
Uganda,80,25072019
Zambia,81,25072019
Benin,82,25072019
Haiti,83,25072019
Israel,84,25072019
Belarus,85,25072019
Uzbekistan,86,25072019
Syria,87,25072019
Oman,88,25072019
Lebanon,89,25072019
Gabon,90,25072019
Congo,91,25072019
Luxembourg,92,25072019
Cyprus,93,25072019
Georgia,94,25072019
Kyrgyz Republic,95,25072019
Madagascar,96,25072019
Vietnam,97,25072019
Armenia,98,25072019
Jordan,99,25072019
Estonia,100,25072019
