Nombre,Rank,Fecha
Belgium,1,14062019
France,2,14062019
Brazil,3,14062019
England,4,14062019
Portugal,5,14062019
Croatia,6,14062019
Spain,7,14062019
Uruguay,8,14062019
Switzerland,9,14062019
Denmark,10,14062019
Germany,11,14062019
Argentina,12,14062019
Colombia,13,14062019
Italy,14,14062019
Netherlands,15,14062019
Chile,16,14062019
Sweden,17,14062019
Mexico,18,14062019
Poland,19,14062019
IR Iran,20,14062019
Peru,21,14062019
Senegal,22,14062019
Wales,23,14062019
Ukraine,24,14062019
Tunisia,25,14062019
Austria,26,14062019
Romania,27,14062019
Northern Ireland,28,14062019
Japan,29,14062019
USA,30,14062019
Slovakia,31,14062019
Republic of Ireland,32,14062019
Venezuela,33,14062019
Serbia,34,14062019
Iceland,35,14062019
Paraguay,36,14062019
Korea Republic,37,14062019
Turkey,38,14062019
Costa Rica,39,14062019
Bosnia and Herzegovina,40,14062019
Czech Republic,41,14062019
Hungary,42,14062019
Australia,43,14062019
Russia,44,14062019
Scotland,45,14062019
Nigeria,46,14062019
Morocco,47,14062019
Norway,48,14062019
Congo DR,49,14062019
Ghana,50,14062019
Cameroon,51,14062019
Greece,52,14062019
Montenegro,53,14062019
Jamaica,54,14062019
Qatar,55,14062019
Finland,56,14062019
Bulgaria,57,14062019
Egypt,58,14062019
Burkina Faso,59,14062019
Ecuador,60,14062019
Honduras,61,14062019
Bolivia,62,14062019
Mali,63,14062019
Côte d'Ivoire,64,14062019
Slovenia,65,14062019
Albania,66,14062019
United Arab Emirates,67,14062019
Algeria,68,14062019
El Salvador,69,14062019
Saudi Arabia,70,14062019
Guinea,71,14062019
South Africa,72,14062019
China PR,73,14062019
North Macedonia,74,14062019
Panama,75,14062019
Cape Verde Islands,76,14062019
Iraq,77,14062019
Canada,78,14062019
Curacao,79,14062019
Uganda,80,14062019
Zambia,81,14062019
Israel,82,14062019
Belarus,83,14062019
Uzbekistan,84,14062019
Syria,85,14062019
Oman,86,14062019
Lebanon,87,14062019
Benin,88,14062019
Gabon,89,14062019
Congo,90,14062019
Luxembourg,91,14062019
Trinidad and Tobago,92,14062019
Cyprus,93,14062019
Georgia,94,14062019
Kyrgyz Republic,95,14062019
Vietnam,96,14062019
Armenia,97,14062019
Jordan,98,14062019
Estonia,99,14062019
Palestine,100,14062019
