Rank,Nombre,Fecha
1,Brazil,31032022
2,Belgium,31032022
3,France,31032022
4,Argentina,31032022
5,England,31032022
6,Italy,31032022
7,Spain,31032022
8,Portugal,31032022
9,Mexico,31032022
10,Netherlands,31032022
11,Denmark,31032022
12,Germany,31032022
13,Uruguay,31032022
14,Switzerland,31032022
15,USA,31032022
16,Croatia,31032022
17,Colombia,31032022
18,Wales,31032022
19,Sweden,31032022
20,Senegal,31032022
21,IR Iran,31032022
22,Peru,31032022
23,Japan,31032022
24,Morocco,31032022
25,Serbia,31032022
26,Poland,31032022
27,Ukraine,31032022
28,Chile,31032022
29,Korea Republic,31032022
30,Nigeria,31032022
31,Costa Rica,31032022
32,Egypt,31032022
33,Czech Republic,31032022
34,Austria,31032022
35,Tunisia,31032022
36,Russia,31032022
37,Cameroon,31032022
38,Canada,31032022
39,Scotland,31032022
40,Hungary,31032022
41,Norway,31032022
42,Australia,31032022
43,Turkey,31032022
44,Algeria,31032022
45,Slovakia,31032022
46,Ecuador,31032022
47,Republic of Ireland,31032022
48,Romania,31032022
49,Saudi Arabia,31032022
50,Paraguay,31032022
51,Qatar,31032022
52,Mali,31032022
53,Côte d'Ivoire,31032022
54,Northern Ireland,31032022
55,Greece,31032022
56,Burkina Faso,31032022
57,Finland,31032022
58,Venezuela,31032022
59,Bosnia and Herzegovina,31032022
60,Ghana,31032022
61,Panama,31032022
62,North Macedonia,31032022
63,Iceland,31032022
64,Jamaica,31032022
65,Slovenia,31032022
66,Albania,31032022
67,Congo DR,31032022
68,United Arab Emirates,31032022
69,South Africa,31032022
70,Montenegro,31032022
71,Cabo Verde,31032022
72,Iraq,31032022
73,Bulgaria,31032022
74,El Salvador,31032022
75,Oman,31032022
76,Israel,31032022
77,China PR,31032022
78,Bolivia,31032022
79,Curaçao,31032022
80,Guinea,31032022
81,Gabon,31032022
82,Honduras,31032022
83,Uzbekistan,31032022
84,Benin,31032022
85,Georgia,31032022
86,Uganda,31032022
87,Zambia,31032022
88,Syria,31032022
89,Bahrain,31032022
90,Haiti,31032022
91,Jordan,31032022
92,Armenia,31032022
93,Belarus,31032022
94,Luxembourg,31032022
95,Kyrgyz Republic,31032022
96,Vietnam,31032022
97,Lebanon,31032022
98,Congo,31032022
99,Equatorial Guinea,31032022
100,Palestine,31032022
