Nombre,Rank,Fecha
Belgium,1,27052021
France,2,27052021
Brazil,3,27052021
England,4,27052021
Portugal,5,27052021
Spain,6,27052021
Italy,7,27052021
Argentina,8,27052021
Uruguay,9,27052021
Denmark,10,27052021
Mexico,11,27052021
Germany,12,27052021
Switzerland,13,27052021
Croatia,14,27052021
Colombia,15,27052021
Netherlands,16,27052021
Wales,17,27052021
Sweden,18,27052021
Chile,19,27052021
USA,20,27052021
Poland,21,27052021
Senegal,22,27052021
Austria,23,27052021
Ukraine,24,27052021
Serbia,25,27052021
Tunisia,26,27052021
Peru,27,27052021
Japan,28,27052021
Turkey,29,27052021
Venezuela,30,27052021
IR Iran,31,27052021
Nigeria,32,27052021
Algeria,33,27052021
Morocco,34,27052021
Paraguay,35,27052021
Slovakia,36,27052021
Hungary,37,27052021
Russia,38,27052021
Korea Republic,39,27052021
Czech Republic,40,27052021
Australia,41,27052021
Norway,42,27052021
Romania,43,27052021
Scotland,44,27052021
Jamaica,45,27052021
Egypt,46,27052021
Republic of Ireland,47,27052021
Northern Ireland,48,27052021
Ghana,49,27052021
Costa Rica,50,27052021
Greece,51,27052021
Iceland,52,27052021
Ecuador,53,27052021
Finland,54,27052021
Cameroon,55,27052021
Bosnia and Herzegovina,56,27052021
Mali,57,27052021
Qatar,58,27052021
Côte d'Ivoire,59,27052021
Burkina Faso,60,27052021
Congo DR,61,27052021
North Macedonia,62,27052021
Slovenia,63,27052021
Montenegro,64,27052021
Saudi Arabia,65,27052021
Albania,66,27052021
Honduras,67,27052021
Iraq,68,27052021
El Salvador,69,27052021
Canada,70,27052021
Bulgaria,71,27052021
Guinea,72,27052021
United Arab Emirates,73,27052021
Cabo Verde,74,27052021
South Africa,75,27052021
Curaçao,76,27052021
China PR,77,27052021
Panama,78,27052021
Syria,79,27052021
Oman,80,27052021
Bolivia,81,27052021
Benin,82,27052021
Haiti,83,27052021
Uganda,84,27052021
Israel,85,27052021
Uzbekistan,86,27052021
Zambia,87,27052021
Gabon,88,27052021
Belarus,89,27052021
Armenia,90,27052021
Georgia,91,27052021
Vietnam,92,27052021
Lebanon,93,27052021
Congo,94,27052021
Jordan,95,27052021
Luxembourg,96,27052021
Cyprus,97,27052021
Bahrain,98,27052021
Kyrgyz Republic,99,27052021
Madagascar,100,27052021
