Nombre,Rank,Fecha
Belgium,1,29112018
France,2,29112018
Brazil,3,29112018
Croatia,4,29112018
England,5,29112018
Portugal,6,29112018
Uruguay,7,29112018
Switzerland,8,29112018
Spain,9,29112018
Denmark,10,29112018
Argentina,11,29112018
Colombia,12,29112018
Chile,13,29112018
Sweden,14,29112018
Netherlands,15,29112018
Germany,16,29112018
Mexico,17,29112018
Italy,18,29112018
Wales,19,29112018
Poland,20,29112018
Peru,21,29112018
Austria,22,29112018
Senegal,23,29112018
Romania,24,29112018
USA,25,29112018
Tunisia,26,29112018
Slovakia,27,29112018
Ukraine,28,29112018
IR Iran,29,29112018
Serbia,30,29112018
Venezuela,31,29112018
Paraguay,32,29112018
Republic of Ireland,33,29112018
Bosnia and Herzegovina,34,29112018
Northern Ireland,35,29112018
Costa Rica,36,29112018
Iceland,37,29112018
Scotland,38,29112018
Turkey,39,29112018
Morocco,40,29112018
Australia,41,29112018
Czech Republic,42,29112018
Greece,43,29112018
Nigeria,44,29112018
Montenegro,45,29112018
Bulgaria,46,29112018
Norway,47,29112018
Russia,48,29112018
Congo DR,49,29112018
Japan,50,29112018
Hungary,51,29112018
Ghana,52,29112018
Korea Republic,53,29112018
Jamaica,54,29112018
Cameroon,55,29112018
Egypt,56,29112018
Ecuador,57,29112018
Finland,58,29112018
Bolivia,59,29112018
Albania,60,29112018
Burkina Faso,61,29112018
Slovenia,62,29112018
Honduras,63,29112018
Mali,64,29112018
Côte d'Ivoire,65,29112018
Guinea,66,29112018
Algeria,67,29112018
FYR Macedonia,68,29112018
Saudi Arabia,69,29112018
El Salvador,70,29112018
Panama,71,29112018
Cape Verde Islands,72,29112018
South Africa,73,29112018
Syria,74,29112018
Uganda,75,29112018
China PR,76,29112018
Belarus,77,29112018
Canada,78,29112018
United Arab Emirates,79,29112018
Curacao,80,29112018
Lebanon,81,29112018
Zambia,82,29112018
Oman,83,29112018
Congo,84,29112018
Gabon,85,29112018
Luxembourg,86,29112018
Cyprus,87,29112018
Iraq,88,29112018
Georgia,89,29112018
Israel,90,29112018
Kyrgyz Republic,91,29112018
Trinidad and Tobago,92,29112018
Qatar,93,29112018
Benin,94,29112018
Uzbekistan,95,29112018
Estonia,96,29112018
India,97,29112018
Faroe Islands,98,29112018
Palestine,99,29112018
Vietnam,100,29112018
