Nombre,Rank,Fecha
Belgium,1,25102018
France,2,25102018
Brazil,3,25102018
Croatia,4,25102018
England,5,25102018
Uruguay,6,25102018
Portugal,7,25102018
Switzerland,8,25102018
Spain,9,25102018
Denmark,10,25102018
Colombia,11,25102018
Argentina,12,25102018
Chile,13,25102018
Germany,14,25102018
Netherlands,15,25102018
Mexico,16,25102018
Sweden,17,25102018
Wales,18,25102018
Italy,19,25102018
Peru,20,25102018
Poland,21,25102018
Tunisia,22,25102018
USA,23,25102018
Austria,24,25102018
Senegal,25,25102018
Romania,26,25102018
Ukraine,27,25102018
Slovakia,28,25102018
Venezuela,29,25102018
IR Iran,30,25102018
Paraguay,31,25102018
Bosnia and Herzegovina,32,25102018
Republic of Ireland,33,25102018
Northern Ireland,34,25102018
Serbia,35,25102018
Iceland,36,25102018
Costa Rica,37,25102018
Turkey,38,25102018
Montenegro,39,25102018
Scotland,40,25102018
Russia,41,25102018
Australia,42,25102018
Greece,43,25102018
Nigeria,44,25102018
Bulgaria,45,25102018
Congo DR,46,25102018
Morocco,47,25102018
Czech Republic,48,25102018
Norway,49,25102018
Japan,50,25102018
Cameroon,51,25102018
Ghana,52,25102018
Korea Republic,53,25102018
Jamaica,54,25102018
Hungary,55,25102018
Finland,56,25102018
Burkina Faso,57,25102018
Egypt,58,25102018
Bolivia,59,25102018
Albania,60,25102018
Ecuador,61,25102018
Honduras,62,25102018
Slovenia,63,25102018
Côte d'Ivoire,64,25102018
Guinea,65,25102018
Mali,66,25102018
Algeria,67,25102018
Cape Verde Islands,68,25102018
FYR Macedonia,69,25102018
El Salvador,70,25102018
Panama,71,25102018
Saudi Arabia,72,25102018
South Africa,73,25102018
Syria,74,25102018
China PR,75,25102018
Canada,76,25102018
Zambia,77,25102018
Belarus,78,25102018
Curacao,79,25102018
Uganda,80,25102018
United Arab Emirates,81,25102018
Lebanon,82,25102018
Gabon,83,25102018
Luxembourg,84,25102018
Oman,85,25102018
Cyprus,86,25102018
Congo,87,25102018
Benin,88,25102018
Iraq,89,25102018
Kyrgyz Republic,90,25102018
Israel,91,25102018
Georgia,92,25102018
Trinidad and Tobago,93,25102018
Uzbekistan,94,25102018
Faroe Islands,95,25102018
Qatar,96,25102018
India,97,25102018
Estonia,98,25102018
Palestine,99,25102018
Madagascar,100,25102018
