Rank	Nombre	Fecha
1	Brazil	6102022
2	Belgium	6102022
3	Argentina	6102022
4	France	6102022
5	England	6102022
6	Italy	6102022
7	Spain	6102022
8	Netherlands	6102022
9	Portugal	6102022
10	Denmark	6102022
11	Germany	6102022
12	Croatia	6102022
13	Mexico	6102022
14	Uruguay	6102022
15	Switzerland	6102022
16	USA	6102022
17	Colombia	6102022
18	Senegal	6102022
19	Wales	6102022
20	IR Iran	6102022
21	Serbia	6102022
22	Morocco	6102022
23	Peru	6102022
24	Japan	6102022
25	Sweden	6102022
26	Poland	6102022
27	Ukraine	6102022
28	Korea Republic	6102022
29	Chile	6102022
30	Tunisia	6102022
31	Costa Rica	6102022
32	Nigeria	6102022
33	Russia	6102022
34	Austria	6102022
35	Czechia	6102022
36	Hungary	6102022
37	Algeria	6102022
38	Australia	6102022
39	Egypt	6102022
40	Scotland	6102022
41	Canada	6102022
42	Norway	6102022
43	Cameroon	6102022
44	Ecuador	6102022
45	Türkiye	6102022
46	Mali	6102022
47	Paraguay	6102022
48	Côte d'Ivoire	6102022
49	Republic of Ireland	6102022
50	Qatar	6102022
	Saudi Arabia	6102022
52	Greece	6102022
53	Romania	6102022
54	Burkina Faso	6102022
55	Slovakia	6102022
56	Finland	6102022
57	Venezuela	6102022
58	Bosnia and Herzegovina	6102022
59	Northern Ireland	6102022
60	Panama	6102022
61	Ghana	6102022
62	Iceland	6102022
63	Slovenia	6102022
64	Jamaica	6102022
65	North Macedonia	6102022
66	Albania	6102022
67	South Africa	6102022
68	Iraq	6102022
69	Montenegro	6102022
70	United Arab Emirates	6102022
71	Cabo Verde	6102022
72	Bulgaria	6102022
73	Congo DR	6102022
74	El Salvador	6102022
75	Oman	6102022
76	Israel	6102022
77	Uzbekistan	6102022
78	Georgia	6102022
79	China PR	6102022
80	Honduras	6102022
81	Gabon	6102022
82	Bolivia	6102022
83	Guinea	6102022
84	Jordan	6102022
85	Bahrain	6102022
86	Curaçao	6102022
87	Haiti	6102022
88	Zambia	6102022
89	Uganda	6102022
90	Syria	6102022
91	Benin	6102022
92	Luxembourg	6102022
93	Armenia	6102022
94	Palestine	6102022
95	Kyrgyz Republic	6102022
96	Vietnam	6102022
97	Belarus	6102022
98	Equatorial Guinea	6102022
99	Lebanon	6102022
100	Congo	6102022
