Nombre,Rank,Fecha
France,1,20092018
Belgium,2,20092018
Brazil,3,20092018
Croatia,4,20092018
Uruguay,5,20092018
England,6,20092018
Portugal,7,20092018
Switzerland,8,20092018
Spain,9,20092018
Denmark,10,20092018
Argentina,11,20092018
Chile,12,20092018
Germany,13,20092018
Colombia,14,20092018
Sweden,15,20092018
Mexico,16,20092018
Netherlands,17,20092018
Poland,18,20092018
Wales,19,20092018
Italy,20,20092018
Peru,21,20092018
USA,22,20092018
Tunisia,23,20092018
Austria,24,20092018
Senegal,25,20092018
Slovakia,26,20092018
Romania,27,20092018
Northern Ireland,28,20092018
Ukraine,29,20092018
Republic of Ireland,30,20092018
Paraguay,31,20092018
Venezuela,32,20092018
IR Iran,33,20092018
Bosnia and Herzegovina,34,20092018
Serbia,35,20092018
Iceland,36,20092018
Costa Rica,37,20092018
Turkey,38,20092018
Scotland,39,20092018
Congo DR,40,20092018
Montenegro,41,20092018
Greece,42,20092018
Australia,43,20092018
Bulgaria,44,20092018
Morocco,45,20092018
Russia,46,20092018
Czech Republic,47,20092018
Nigeria,48,20092018
Hungary,49,20092018
Cameroon,50,20092018
Ghana,51,20092018
Norway,52,20092018
Jamaica,53,20092018
Japan,54,20092018
Korea Republic,55,20092018
Burkina Faso,56,20092018
Albania,57,20092018
Ecuador,58,20092018
Finland,59,20092018
Bolivia,60,20092018
Slovenia,61,20092018
Honduras,62,20092018
Mali,63,20092018
Egypt,64,20092018
Guinea,65,20092018
Côte d'Ivoire,66,20092018
Cape Verde Islands,67,20092018
FYR Macedonia,68,20092018
Algeria,69,20092018
Panama,70,20092018
Saudi Arabia,71,20092018
El Salvador,72,20092018
South Africa,73,20092018
Syria,74,20092018
Zambia,75,20092018
China PR,76,20092018
Lebanon,77,20092018
United Arab Emirates,78,20092018
Canada,79,20092018
Belarus,80,20092018
Curacao,81,20092018
Luxembourg,82,20092018
Uganda,83,20092018
Congo,84,20092018
Oman,85,20092018
Cyprus,86,20092018
Gabon,87,20092018
Benin,88,20092018
Iraq,89,20092018
Trinidad and Tobago,90,20092018
Kyrgyz Republic,91,20092018
Faroe Islands,92,20092018
Georgia,93,20092018
Qatar,94,20092018
Israel,95,20092018
Uzbekistan,96,20092018
India,97,20092018
Estonia,98,20092018
Libya,99,20092018
Palestine,100,20092018
