RK1,Fecha1,Nombre,RK2,Fecha2,Nombre,RK3,Fecha3,Nombre,RK4,Fecha4,Nombre,RK5,Fecha5,Nombre
1,10022022,Belgium,1,23122021,Belgium,1,10122020,Belgium,1,19122019,Belgium,1,20122018,Belgium
2,10022022,Brazil,2,23122022,Brazil,2,10122020,France,2,19122019,France,2,20122018,France
3,10022022,France,3,23122023,France,3,10122020,Brazil,3,19122019,Brazil,3,20122018,Brazil
4,10022022,Argentina,4,23122024,England,4,10122020,England,4,19122019,England,4,20122018,Croatia
5,10022022,England,5,23122025,Argentina,5,10122020,Portugal,5,19122019,Uruguay,5,20122018,England
6,10022022,Italy,6,23122026,Italy,6,10122020,Spain,6,19122019,Croatia,6,20122018,Portugal
7,10022022,Spain,7,23122027,Spain,7,10122020,Argentina,7,19122019,Portugal,7,20122018,Uruguay
8,10022022,Portugal,8,23122028,Portugal,8,10122020,Uruguay,8,19122019,Spain,8,20122018,Switzerland
9,10022022,Denmark,9,23122029,Denmark,9,10122020,Mexico,9,19122019,Argentina,9,20122018,Spain
10,10022022,Netherlands,10,23122030,Netherlands,10,10122020,Italy,10,19122019,Colombia,10,20122018,Denmark
11,10022022,Germany,11,23122031,USA,11,10122020,Croatia,11,19122019,Mexico,11,20122018,Argentina
12,10022022,Mexico,12,23122032,Germany,12,10122020,Denmark,12,19122019,Switzerland,12,20122018,Colombia
13,10022022,USA,13,23122033,Switzerland,13,10122020,Germany,13,19122019,Italy,13,20122018,Chile
14,10022022,Switzerland,14,23122034,Mexico,14,10122020,Netherlands,14,19122019,Netherlands,14,20122018,Sweden
15,10022022,Croatia,15,23122035,Croatia,15,10122020,Colombia,15,19122019,Germany,14,20122018,Netherlands
16,10022022,Uruguay,16,23122036,Colombia,16,10122020,Switzerland,16,19122019,Denmark,16,20122018,Germany
17,10022022,Sweden,17,23122037,Uruguay,17,10122020,Chile,17,19122019,Sweden,17,20122018,Mexico
18,10022022,Senegal,18,23122038,Sweden,18,10122020,Wales,17,19122019,Chile,18,20122018,Italy
19,10022022,Colombia,19,23122039,Wales,19,10122020,Poland,19,19122019,Poland,19,20122018,Wales
20,10022022,Wales,20,23122040,Senegal,20,10122020,Senegal,20,19122019,Senegal,20,20122018,Poland
21,10022022,IR Iran,21,23122041,IR Iran,20,10122020,Sweden,21,19122019,Peru,20,20122018,Peru
22,10022022,Peru,22,23122042,Peru,22,10122020,USA,22,19122019,USA,22,20122018,Austria
23,10022022,Japan,23,23122043,Serbia,23,10122020,Austria,22,19122019,Wales,23,20122018,Senegal
24,10022022,Morocco,24,23122044,Chile,24,10122020,Ukraine,24,19122019,Ukraine,24,20122018,Romania
25,10022022,Serbia,25,23122045,Ukraine,25,10122020,Peru,25,19122019,Venezuela,25,20122018,USA
26,10022022,Chile,26,23122046,Japan,26,10122020,Tunisia,26,19122019,Austria,26,20122018,Tunisia
