Nombre,Rank,Fecha
Belgium,1,10022022
Brazil,2,10022022
France,3,10022022
Argentina,4,10022022
England,5,10022022
Italy,6,10022022
Spain,7,10022022
Portugal,8,10022022
Denmark,9,10022022
Netherlands,10,10022022
Germany,11,10022022
Mexico,12,10022022
USA,13,10022022
Switzerland,14,10022022
Croatia,15,10022022
Uruguay,16,10022022
Sweden,17,10022022
Senegal,18,10022022
Colombia,19,10022022
Wales,20,10022022
IR Iran,21,10022022
Peru,22,10022022
Japan,23,10022022
Morocco,24,10022022
Serbia,25,10022022
Chile,26,10022022
Ukraine,27,10022022
Poland,28,10022022
Korea Republic,29,10022022
Austria,30,10022022
Czech Republic,31,10022022
Nigeria,32,10022022
Canada,33,10022022
Egypt,34,10022022
Russia,35,10022022
Tunisia,36,10022022
Australia,37,10022022
Cameroon,38,10022022
Turkey,39,10022022
Scotland,40,10022022
Hungary,41,10022022
Costa Rica,42,10022022
Algeria,43,10022022
Ecuador,44,10022022
Norway,45,10022022
Slovakia,46,10022022
Romania,47,10022022
Mali,48,10022022
Republic of Ireland,49,10022022
Paraguay,50,10022022
Côte d'Ivoire,51,10022022
Qatar,52,10022022
Saudi Arabia,53,10022022
Northern Ireland,54,10022022
Greece,55,10022022
Burkina Faso,56,10022022
Finland,57,10022022
Venezuela,58,10022022
Bosnia and Herzegovina,59,10022022
Iceland,60,10022022
Ghana,61,10022022
Jamaica,62,10022022
Panama,63,10022022
Slovenia,64,10022022
Albania,65,10022022
Congo DR,66,10022022
North Macedonia,67,10022022
South Africa,68,10022022
United Arab Emirates,69,10022022
El Salvador,70,10022022
Bulgaria,71,10022022
Montenegro,72,10022022
Cabo Verde,73,10022022
Iraq,74,10022022
China PR,75,10022022
Bolivia,76,10022022
Israel,77,10022022
Honduras,78,10022022
Oman,79,10022022
Curaçao,80,10022022
Guinea,81,10022022
Gabon,82,10022022
Benin,83,10022022
Uganda,84,10022022
Uzbekistan,85,10022022
Georgia,86,10022022
Haiti,87,10022022
Zambia,88,10022022
Bahrain,89,10022022
Jordan,90,10022022
Syria,91,10022022
Armenia,92,10022022
Luxembourg,93,10022022
Belarus,94,10022022
Lebanon,95,10022022
Kyrgyz Republic,96,10022022
Congo,97,10022022
Vietnam,98,10022022
Equatorial Guinea,99,10022022
Palestine,100,10022022
Belgium,1,23122021
Brazil,2,23122022
France,3,23122023
England,4,23122024
Argentina,5,23122025
Italy,6,23122026
Spain,7,23122027
Portugal,8,23122028
Denmark,9,23122029
Netherlands,10,23122030
USA,11,23122031
Germany,12,23122032
Switzerland,13,23122033
Mexico,14,23122034
Croatia,15,23122035
Colombia,16,23122036
Uruguay,17,23122037
Sweden,18,23122038
Wales,19,23122039
Senegal,20,23122040
IR Iran,21,23122041
Peru,22,23122042
Serbia,23,23122043
Chile,24,23122044
Ukraine,25,23122045
Japan,26,23122046
Poland,27,23122047
Morocco,28,23122048
Algeria,29,23122049
Tunisia,30,23122050
Austria,31,23122051
Czech Republic,32,23122052
Korea Republic,33,23122053
Russia,34,23122054
Australia,35,23122055
Nigeria,36,23122056
Turkey,37,23122057
Scotland,38,23122058
Hungary,39,23122059
Canada,40,23122060
Norway,41,23122061
Slovakia,42,23122062
Paraguay,43,23122063
Romania,44,23122064
Egypt,45,23122065
Ecuador,46,23122066
Republic of Ireland,47,23122067
Qatar,48,23122068
Costa Rica,49,23122069
Cameroon,50,23122070
Saudi Arabia,51,23122071
Ghana,52,23122072
Mali,53,23122073
Northern Ireland,54,23122074
Greece,55,23122075
Côte d'Ivoire,56,23122076
Jamaica,57,23122077
Finland,58,23122078
Venezuela,59,23122079
Burkina Faso,60,23122080
Bosnia and Herzegovina,61,23122081
Iceland,62,23122082
Panama,63,23122083
Congo DR,64,23122084
Slovenia,65,23122085
Albania,66,23122086
North Macedonia,67,23122087
South Africa,68,23122088
United Arab Emirates,69,23122089
El Salvador,70,23122090
Bulgaria,71,23122091
Montenegro,72,23122092
Cabo Verde,73,23122093
China PR,74,23122094
Iraq,75,23122095
Honduras,76,23122096
Bolivia,77,23122097
Israel,78,23122098
Oman,79,23122099
Curaçao,80,23122100
Guinea,81,23122101
Uganda,82,23122102
Benin,83,23122103
Uzbekistan,84,23122104
Georgia,85,23122105
Syria,86,23122106
Haiti,87,23122107
Zambia,88,23122108
Gabon,89,23122109
Jordan,90,23122110
Bahrain,91,23122111
Armenia,92,23122112
Luxembourg,93,23122113
Belarus,94,23122114
Lebanon,95,23122115
Kyrgyz Republic,96,23122116
Congo,97,23122117
Vietnam,98,23122118
Palestine,99,23122119
Trinidad and Tobago,100,23122120
Belgium,1,10122020
France,2,10122020
Brazil,3,10122020
England,4,10122020
Portugal,5,10122020
Spain,6,10122020
Argentina,7,10122020
Uruguay,8,10122020
Mexico,9,10122020
Italy,10,10122020
Croatia,11,10122020
Denmark,12,10122020
Germany,13,10122020
Netherlands,14,10122020
Colombia,15,10122020
Switzerland,16,10122020
Chile,17,10122020
Wales,18,10122020
Poland,19,10122020
Senegal,20,10122020
Sweden,20,10122020
USA,22,10122020
Austria,23,10122020
Ukraine,24,10122020
Peru,25,10122020
Tunisia,26,10122020
Japan,27,10122020
Venezuela,28,10122020
IR Iran,29,10122020
Serbia,30,10122020
Algeria,31,10122020
Turkey,32,10122020
Slovakia,33,10122020
Paraguay,34,10122020
Morocco,35,10122020
Nigeria,35,10122020
Romania,37,10122020
Korea Republic,38,10122020
Russia,39,10122020
Hungary,40,10122020
Australia,41,10122020
Czech Republic,42,10122020
Republic of Ireland,42,10122020
Norway,44,10122020
Northern Ireland,45,10122020
Iceland,46,10122020
Jamaica,47,10122020
Scotland,48,10122020
Egypt,49,10122020
Cameroon,50,10122020
Costa Rica,51,10122020
Ghana,52,10122020
Greece,53,10122020
Finland,54,10122020
Bosnia and Herzegovina,55,10122020
Ecuador,56,10122020
Mali,57,10122020
Burkina Faso,58,10122020
Qatar,58,10122020
Congo DR,60,10122020
Côte d'Ivoire,61,10122020
Slovenia,62,10122020
Montenegro,63,10122020
Honduras,64,10122020
North Macedonia,65,10122020
Albania,66,10122020
Saudi Arabia,67,10122020
Bulgaria,68,10122020
Iraq,69,10122020
El Salvador,70,10122020
South Africa,71,10122020
Canada,72,10122020
Guinea,73,10122020
United Arab Emirates,74,10122020
China PR,75,10122020
Curaçao,76,10122020
Syria,76,10122020
Panama,78,10122020
Uganda,79,10122020
Bolivia,79,10122020
Cabo Verde,81,10122020
Oman,82,10122020
Benin,83,10122020
Haiti,84,10122020
Uzbekistan,85,10122020
Gabon,86,10122020
Israel,87,10122020
Belarus,88,10122020
Georgia,89,10122020
Zambia,90,10122020
Congo,91,10122020
Lebanon,92,10122020
Vietnam,93,10122020
Madagascar,94,10122020
Jordan,95,10122020
Kyrgyz Republic,96,10122020
Bahrain,97,10122020
Luxembourg,98,10122020
Armenia,99,10122020
Cyprus,100,10122020
Belgium,1,19122019
France,2,19122019
Brazil,3,19122019
England,4,19122019
Uruguay,5,19122019
Croatia,6,19122019
Portugal,7,19122019
Spain,8,19122019
Argentina,9,19122019
Colombia,10,19122019
Mexico,11,19122019
Switzerland,12,19122019
Italy,13,19122019
Netherlands,14,19122019
Germany,15,19122019
Denmark,16,19122019
Sweden,17,19122019
Chile,17,19122019
Poland,19,19122019
Senegal,20,19122019
Peru,21,19122019
USA,22,19122019
Wales,22,19122019
Ukraine,24,19122019
Venezuela,25,19122019
Austria,26,19122019
Tunisia,27,19122019
Japan,28,19122019
Turkey,29,19122019
Serbia,29,19122019
Nigeria,31,19122019
Slovakia,32,19122019
IR Iran,33,19122019
Republic of Ireland,34,19122019
Algeria,35,19122019
Northern Ireland,36,19122019
Romania,37,19122019
Russia,38,19122019
Iceland,39,19122019
Korea Republic,40,19122019
Paraguay,40,19122019
Australia,42,19122019
Morocco,43,19122019
Norway,44,19122019
Czech Republic,45,19122019
Costa Rica,46,19122019
Ghana,47,19122019
Jamaica,48,19122019
Bosnia and Herzegovina,49,19122019
Scotland,50,19122019
Egypt,51,19122019
Hungary,52,19122019
Cameroon,53,19122019
Greece,54,19122019
Qatar,55,19122019
Mali,56,19122019
Congo DR,56,19122019
Finland,58,19122019
Bulgaria,59,19122019
Burkina Faso,59,19122019
Côte d'Ivoire,61,19122019
Honduras,62,19122019
Ecuador,63,19122019
Montenegro,64,19122019
Slovenia,64,19122019
Albania,66,19122019
Saudi Arabia,67,19122019
North Macedonia,68,19122019
El Salvador,69,19122019
Iraq,70,19122019
South Africa,71,19122019
United Arab Emirates,71,19122019
Canada,73,19122019
Guinea,74,19122019
Bolivia,75,19122019
China PR,76,19122019
Uganda,77,19122019
Cabo Verde,78,19122019
Syria,79,19122019
Curaçao,80,19122019
Panama,81,19122019
Oman,82,19122019
Gabon,83,19122019
Benin,84,19122019
Uzbekistan,85,19122019
Haiti,86,19122019
Belarus,87,19122019
Zambia,88,19122019
Congo,89,19122019
Lebanon,89,19122019
Madagascar,91,19122019
Georgia,91,19122019
Israel,93,19122019
Vietnam,94,19122019
Cyprus,95,19122019
Kyrgyz Republic,96,19122019
Jordan,97,19122019
Luxembourg,98,19122019
Bahrain,99,19122019
Mauritania,100,19122019
Belgium,1,20122018
France,2,20122018
Brazil,3,20122018
Croatia,4,20122018
England,5,20122018
Portugal,6,20122018
Uruguay,7,20122018
Switzerland,8,20122018
Spain,9,20122018
Denmark,10,20122018
Argentina,11,20122018
Colombia,12,20122018
Chile,13,20122018
Sweden,14,20122018
Netherlands,14,20122018
Germany,16,20122018
Mexico,17,20122018
Italy,18,20122018
Wales,19,20122018
Poland,20,20122018
Peru,20,20122018
Austria,22,20122018
Senegal,23,20122018
Romania,24,20122018
USA,25,20122018
Tunisia,26,20122018
Slovakia,27,20122018
Ukraine,28,20122018
Serbia,29,20122018
IR Iran,29,20122018
Venezuela,31,20122018
Paraguay,32,20122018
Republic of Ireland,33,20122018
Bosnia and Herzegovina,34,20122018
Northern Ireland,35,20122018
Costa Rica,36,20122018
Iceland,37,20122018
Scotland,38,20122018
Turkey,39,20122018
Morocco,40,20122018
Australia,41,20122018
Czech Republic,42,20122018
Greece,43,20122018
Nigeria,44,20122018
Montenegro,44,20122018
Bulgaria,46,20122018
Norway,46,20122018
Russia,48,20122018
Congo DR,49,20122018
