Nombre,Rank,Fecha
Belgium,1,16072020
France,2,16072020
Brazil,3,16072020
England,4,16072020
Uruguay,5,16072020
Croatia,6,16072020
Portugal,7,16072020
Spain,8,16072020
Argentina,9,16072020
Colombia,10,16072020
Mexico,11,16072020
Switzerland,12,16072020
Italy,13,16072020
Netherlands,14,16072020
Germany,15,16072020
Denmark,16,16072020
Chile,17,16072020
Sweden,18,16072020
Poland,19,16072020
Senegal,20,16072020
Peru,21,16072020
USA,22,16072020
Wales,23,16072020
Ukraine,24,16072020
Venezuela,25,16072020
Austria,26,16072020
Tunisia,27,16072020
Japan,28,16072020
Turkey,29,16072020
Serbia,30,16072020
Nigeria,31,16072020
Slovakia,32,16072020
IR Iran,33,16072020
Republic of Ireland,34,16072020
Algeria,35,16072020
Northern Ireland,36,16072020
Romania,37,16072020
Russia,38,16072020
Iceland,39,16072020
Korea Republic,40,16072020
Paraguay,41,16072020
Australia,42,16072020
Morocco,43,16072020
Norway,44,16072020
Czech Republic,45,16072020
Costa Rica,46,16072020
Ghana,47,16072020
Jamaica,48,16072020
Bosnia and Herzegovina,49,16072020
Scotland,50,16072020
Egypt,51,16072020
Hungary,52,16072020
Cameroon,53,16072020
Greece,54,16072020
Qatar,55,16072020
Mali,56,16072020
Congo DR,57,16072020
Finland,58,16072020
Burkina Faso,59,16072020
Bulgaria,60,16072020
Côte d'Ivoire,61,16072020
Honduras,62,16072020
Ecuador,63,16072020
Montenegro,64,16072020
Slovenia,65,16072020
Albania,66,16072020
Saudi Arabia,67,16072020
North Macedonia,68,16072020
El Salvador,69,16072020
Iraq,70,16072020
United Arab Emirates,71,16072020
South Africa,72,16072020
Canada,73,16072020
Guinea,74,16072020
Bolivia,75,16072020
China PR,76,16072020
Uganda,77,16072020
Cabo Verde,78,16072020
Syria,79,16072020
Curaçao,80,16072020
Panama,81,16072020
Oman,82,16072020
Gabon,83,16072020
Benin,84,16072020
Uzbekistan,85,16072020
Haiti,86,16072020
Belarus,87,16072020
Zambia,88,16072020
Congo,89,16072020
Lebanon,90,16072020
Madagascar,91,16072020
Georgia,92,16072020
Israel,93,16072020
Vietnam,94,16072020
Cyprus,95,16072020
Kyrgyz Republic,96,16072020
Jordan,97,16072020
Luxembourg,98,16072020
Bahrain,99,16072020
Mauritania,100,16072020
