Nombre,Rank,Fecha
Belgium,1,28112019
France,2,28112019
Brazil,3,28112019
England,4,28112019
Uruguay,5,28112019
Croatia,6,28112019
Portugal,7,28112019
Spain,8,28112019
Argentina,9,28112019
Colombia,10,28112019
Mexico,11,28112019
Switzerland,12,28112019
Italy,13,28112019
Netherlands,14,28112019
Germany,15,28112019
Denmark,16,28112019
Chile,17,28112019
Sweden,18,28112019
Poland,19,28112019
Senegal,20,28112019
Peru,21,28112019
USA,22,28112019
Wales,23,28112019
Ukraine,24,28112019
Venezuela,25,28112019
Austria,26,28112019
Tunisia,27,28112019
Japan,28,28112019
Turkey,29,28112019
Serbia,30,28112019
Nigeria,31,28112019
Slovakia,32,28112019
IR Iran,33,28112019
Republic of Ireland,34,28112019
Algeria,35,28112019
Northern Ireland,36,28112019
Romania,37,28112019
Russia,38,28112019
Iceland,39,28112019
Paraguay,40,28112019
Korea Republic,41,28112019
Australia,42,28112019
Morocco,43,28112019
Norway,44,28112019
Czech Republic,45,28112019
Costa Rica,46,28112019
Ghana,47,28112019
Jamaica,48,28112019
Bosnia and Herzegovina,49,28112019
Scotland,50,28112019
Egypt,51,28112019
Hungary,52,28112019
Cameroon,53,28112019
Greece,54,28112019
Qatar,55,28112019
Mali,56,28112019
Congo DR,57,28112019
Finland,58,28112019
Bulgaria,59,28112019
Burkina Faso,60,28112019
Côte d'Ivoire,61,28112019
Honduras,62,28112019
Ecuador,63,28112019
Montenegro,64,28112019
Slovenia,65,28112019
Albania,66,28112019
Saudi Arabia,67,28112019
North Macedonia,68,28112019
El Salvador,69,28112019
Iraq,70,28112019
United Arab Emirates,71,28112019
South Africa,72,28112019
Canada,73,28112019
Guinea,74,28112019
China PR,75,28112019
Bolivia,76,28112019
Uganda,77,28112019
Cabo Verde,78,28112019
Syria,79,28112019
Curaçao,80,28112019
Panama,81,28112019
Oman,82,28112019
Gabon,83,28112019
Benin,84,28112019
Uzbekistan,85,28112019
Haiti,86,28112019
Belarus,87,28112019
Zambia,88,28112019
Congo,89,28112019
Lebanon,90,28112019
Madagascar,91,28112019
Georgia,92,28112019
Israel,93,28112019
Vietnam,94,28112019
Cyprus,95,28112019
Kyrgyz Republic,96,28112019
Jordan,97,28112019
Luxembourg,98,28112019
Mauritania,99,28112019
Bahrain,100,28112019
