Nombre,Rank,Fecha
Belgium,1,22102020
France,2,22102020
Brazil,3,22102020
England,4,22102020
Portugal,5,22102020
Spain,6,22102020
Uruguay,7,22102020
Argentina,8,22102020
Croatia,9,22102020
Colombia,10,22102020
Mexico,11,22102020
Italy,12,22102020
Denmark,13,22102020
Germany,14,22102020
Netherlands,15,22102020
Switzerland,16,22102020
Chile,17,22102020
Poland,18,22102020
Sweden,19,22102020
Wales,20,22102020
Senegal,21,22102020
USA,22,22102020
Ukraine,23,22102020
Peru,24,22102020
Austria,25,22102020
Tunisia,26,22102020
Japan,27,22102020
Venezuela,28,22102020
IR Iran,29,22102020
Serbia,30,22102020
Algeria,31,22102020
Nigeria,32,22102020
Turkey,33,22102020
Russia,34,22102020
Paraguay,35,22102020
Republic of Ireland,36,22102020
Slovakia,37,22102020
Korea Republic,38,22102020
Morocco,39,22102020
Iceland,40,22102020
Northern Ireland,41,22102020
Australia,42,22102020
Norway,43,22102020
Romania,44,22102020
Scotland,45,22102020
Czech Republic,46,22102020
Hungary,47,22102020
Ghana,48,22102020
Jamaica,49,22102020
Costa Rica,50,22102020
Bosnia and Herzegovina,51,22102020
Egypt,52,22102020
Cameroon,53,22102020
Greece,54,22102020
Finland,55,22102020
Mali,56,22102020
Qatar,57,22102020
Burkina Faso,58,22102020
Congo DR,59,22102020
Ecuador,60,22102020
Côte d'Ivoire,61,22102020
Slovenia,62,22102020
Honduras,63,22102020
Montenegro,64,22102020
North Macedonia,65,22102020
Bulgaria,66,22102020
Saudi Arabia,67,22102020
El Salvador,68,22102020
Albania,69,22102020
Iraq,70,22102020
Guinea,71,22102020
Canada,72,22102020
South Africa,73,22102020
United Arab Emirates,74,22102020
China PR,75,22102020
Uganda,76,22102020
Panama,77,22102020
Cabo Verde,78,22102020
Syria,79,22102020
Bolivia,80,22102020
Curaçao,81,22102020
Oman,82,22102020
Benin,83,22102020
Uzbekistan,84,22102020
Gabon,85,22102020
Georgia,86,22102020
Haiti,87,22102020
Israel,88,22102020
Zambia,89,22102020
Belarus,90,22102020
Lebanon,91,22102020
Madagascar,92,22102020
Congo,93,22102020
Vietnam,94,22102020
Luxembourg,95,22102020
Kyrgyz Republic,96,22102020
Jordan,97,22102020
Mauritania,98,22102020
Cyprus,99,22102020
Bahrain,100,22102020
