Nombre,Rank,Fecha
Belgium,1,17092020
France,2,17092020
Brazil,3,17092020
England,4,17092020
Portugal,5,17092020
Uruguay,6,17092020
Spain,7,17092020
Croatia,8,17092020
Argentina,9,17092020
Colombia,10,17092020
Mexico,11,17092020
Italy,12,17092020
Netherlands,13,17092020
Germany,14,17092020
Switzerland,15,17092020
Denmark,16,17092020
Chile,17,17092020
Sweden,18,17092020
Poland,19,17092020
Senegal,20,17092020
Wales,21,17092020
Peru,22,17092020
USA,23,17092020
Ukraine,24,17092020
Venezuela,25,17092020
Tunisia,26,17092020
Austria,27,17092020
Japan,28,17092020
Nigeria,29,17092020
IR Iran,30,17092020
Serbia,31,17092020
Turkey,32,17092020
Russia,33,17092020
Romania,34,17092020
Algeria,35,17092020
Slovakia,36,17092020
Republic of Ireland,37,17092020
Northern Ireland,38,17092020
Korea Republic,39,17092020
Paraguay,40,17092020
Australia,41,17092020
Iceland,42,17092020
Morocco,43,17092020
Norway,44,17092020
Czech Republic,45,17092020
Costa Rica,46,17092020
Ghana,47,17092020
Jamaica,48,17092020
Scotland,49,17092020
Bosnia and Herzegovina,50,17092020
Egypt,51,17092020
Hungary,52,17092020
Greece,53,17092020
Cameroon,54,17092020
Qatar,55,17092020
Finland,56,17092020
Mali,57,17092020
Congo DR,58,17092020
Burkina Faso,59,17092020
Côte d'Ivoire,60,17092020
Bulgaria,61,17092020
Honduras,62,17092020
Montenegro,63,17092020
Slovenia,64,17092020
Ecuador,65,17092020
Saudi Arabia,66,17092020
North Macedonia,67,17092020
Albania,68,17092020
El Salvador,69,17092020
Iraq,70,17092020
United Arab Emirates,71,17092020
South Africa,72,17092020
Canada,73,17092020
Guinea,74,17092020
Bolivia,75,17092020
China PR,76,17092020
Uganda,77,17092020
Cabo Verde,78,17092020
Syria,79,17092020
Curaçao,80,17092020
Panama,81,17092020
Oman,82,17092020
Gabon,83,17092020
Benin,84,17092020
Uzbekistan,85,17092020
Haiti,86,17092020
Belarus,87,17092020
Zambia,88,17092020
Georgia,89,17092020
Congo,90,17092020
Lebanon,91,17092020
Madagascar,92,17092020
Israel,93,17092020
Vietnam,94,17092020
Kyrgyz Republic,95,17092020
Jordan,96,17092020
Luxembourg,97,17092020
Cyprus,98,17092020
Bahrain,99,17092020
Mauritania,100,17092020
