,,,Ecuatorianos,,Extranjeros,
,,,Cantidad,%,Cantidad,%
,,Deportivo Cuenca,7,46.6666666666667,8,53.3333333333333
,,Liga,11,73.3333333333333,4,26.6666666666667
,,Independiente del Valle,13,81.25,3,18.75
,,Mushuc Runa,10,62.5,6,37.5
,,Cumbaya,11,68.75,5,31.25
,,Guayaquil City,9,56.25,7,43.75
,,Gualaceo,12,80,3,20
,,Barcelona,8,50,8,50
,,Tecnico Universitario,12,75,4,25
,,Universidad Catolica,9,56.25,7,43.75
,,Aucas,15,93.75,1,6.25
,,El Nacional,,,,
,,Emelec,10,62.5,6,37.5
,,Libertad de Loja,13,81.25,3,18.75
,,Delfin,6,42.8571428571429,8,57.1428571428571
,,Orense,13,81.25,3,18.75
,,TOTAL,159,67.4404761904762,76,32.5595238095238
