Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
21	Mohammed Al-Owais	Mohammed Al-Owais	Goalkeeper	31	Al-Hilal Saudi FC	€700k  
1	Mohammed Al-Yami	Mohammed Al-Yami	Goalkeeper	25	Al-Ahli Saudi FC	€600k  
22	Nawaf Al-Aqidi	Nawaf Al-Aqidi	Goalkeeper	22	Al-Nassr FC	€200k  
4	Abdulelah Al-Amri	Abdulelah Al-Amri	Centre-Back	25	Al-Nassr FC	€1.20m  
17	Hassan Tambakti	Hassan Tambakti	Centre-Back	23	Al-Shabab Club (Riyadh)	€1.00m  
3	Abdullah Madu	Abdullah Madu	Centre-Back	29	Al-Nassr FC	€900k  
5	Ali Al-Bulayhi	Ali Al-Bulayhi	Centre-Back	32	Al-Hilal Saudi FC	€400k  
13	Yasser Al-Shahrani	Yasser Al-Shahrani	Left-Back	30	Al-Hilal Saudi FC	€1.50m  
24	Nasser Al-Dawsari	Nasser Al-Dawsari	Left-Back	23	Al-Hilal Saudi FC	€700k  
2	Sultan Al-Ghannam	Sultan Al-Ghannam	Right-Back	28	Al-Nassr FC	€2.50m  
12	Saud Abdulhamid	Saud Abdulhamid	Right-Back	23	Al-Hilal Saudi FC	€1.70m  
6	Mohammed Al-Burayk	Mohammed Al-Burayk	Right-Back	30	Al-Hilal Saudi FC	€1.20m  
15	Ali Al-Hassan	Ali Al-Hassan	Defensive Midfield	25	Al-Nassr FC	€500k  
26	Riad Sharahili	Riad Sharahili	Defensive Midfield	29	Abha Club	€400k  
14	Abdullah Otayf	Abdullah Otayf	Defensive Midfield	30	Al-Hilal Saudi FC	€300k  
23	Mohamed Kanno	Mohamed Kanno	Central Midfield	28	Al-Hilal Saudi FC	€1.20m  
8	Abdulelah Al-Malki	Abdulelah Al-Malki	Central Midfield	28	Al-Hilal Saudi FC	€800k  
7	Salman Al-Faraj	Salman Al-Faraj	Central Midfield	33	Al-Hilal Saudi FC	€500k  
16	Sami Al-Najei	Sami Al-Najei	Attacking Midfield	25	Al-Nassr FC	€1.50m  
18	Nawaf Al-Abed	Nawaf Al-Abed	Attacking Midfield	32	Al-Shabab Club (Riyadh)	€300k  
10	Salem Al-Dawsari	Salem Al-Dawsari	Left Winger	31	Al-Hilal Saudi FC	€1.80m  
20	Abdulrahman Al-Oboud	Abdulrahman Al-Oboud	Right Winger	27	Al-Ittihad Club (Jeddah)	€1.50m  
19	Hattan Bahebri	Hattan Bahebri	Right Winger	30	Al-Shabab Club (Riyadh)	€900k  
9	Firas Al-Buraikan	Firas Al-Buraikan	Centre-Forward	22	Al-Fateh	€1.80m  
11	Saleh Al-Shehri	Saleh Al-Shehri	Centre-Forward	29	Al-Hilal Saudi FC	€700k  
25	Haitham Asiri	Haitham Asiri	Centre-Forward	21	Al-Ahli Saudi FC	€400k
