Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
23	Emiliano Martínez	Emiliano Martínez	Goalkeeper	30	Aston Villa	€25.00m  
12	Gerónimo Rulli	Gerónimo Rulli	Goalkeeper	30	Villarreal CF	€10.00m  
1	Franco Armani	Franco Armani	Goalkeeper	36	CA River Plate	€3.20m 
13	Cristian Romero	Cristian Romero	Centre-Back	24	Tottenham Hotspur	€55.00m  
25	Lisandro Martínez	Lisandro Martínez	Centre-Back	24	Manchester United	€50.00m  
6	Germán Pezzella	Germán Pezzella	Centre-Back	31	Real Betis Balompié	€5.00m  
19	Nicolás Otamendi	Nicolás Otamendi	Centre-Back	34	SL Benfica	€3.00m  
8	Marcos Acuña	Marcos Acuña	Left-Back	31	Sevilla FC	€14.00m  
3	Nicolás Tagliafico	Nicolás Tagliafico	Left-Back	30	Olympique Lyon	€9.00m  
2	Juan Foyth	Juan Foyth	Right-Back	24	Villarreal CF	€25.00m  
26	Nahuel Molina	Nahuel Molina	Right-Back	24	Atlético de Madrid	€18.00m  
4	Gonzalo Montiel	Gonzalo Montiel	Right-Back	25	Sevilla FC	€12.00m  
18	Guido Rodríguez	Guido Rodríguez	Defensive Midfield	28	Real Betis Balompié	€28.00m  
5	Leandro Paredes	Leandro Paredes	Defensive Midfield	28	Juventus FC	€15.00m  
7	Rodrigo de Paul	Rodrigo de Paul	Central Midfield	28	Atlético de Madrid	€35.00m  
24	Enzo Fernández	Enzo Fernández	Central Midfield	21	SL Benfica	€35.00m  
20	Alexis Mac Allister	Alexis Mac Allister	Central Midfield	23	Brighton & Hove Albion	€32.00m  
14	Exequiel Palacios	Exequiel Palacios	Central Midfield	24	Bayer 04 Leverkusen	€15.00m  
16	Thiago Almada	Thiago Almada	Attacking Midfield	21	Atlanta United FC	€15.00m  
15	Papu Gómez	Papu Gómez	Left Winger	34	Sevilla FC	€4.00m  
10	Lionel Messi	Lionel Messi	Right Winger	35	Paris Saint-Germain	€50.00m  
16	Ángel Correa	Ángel Correa	Right Winger	27	Atlético de Madrid	€40.00m  
11	Ángel Di María	Ángel Di María	Right Winger	34	Juventus FC	€10.00m  
21	Paulo Dybala	Paulo Dybala	Second Striker	29	AS Roma	€30.00m  
22	Lautaro Martínez	Lautaro Martínez	Centre-Forward	25	Inter Milan	€75.00m  
9	Julián Álvarez	Julián Álvarez	Centre-Forward	22	Manchester City	€32.00m
