Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
12	Moisés Ramírez	Moisés Ramírez	Goalkeeper	22	Independiente del Valle	€1.00m
1	Hernán Galíndez	Hernán Galíndez	Goalkeeper	35	SD Aucas	€600k
22	Alexander Domínguez	Alexander Domínguez	Goalkeeper	35	LDU Quito	€600k
3	Piero Hincapié	Piero Hincapié	Centre-Back	20	Bayer 04 Leverkusen	€22.00m
2	Félix Torres	Félix Torres	Centre-Back	25	Santos Laguna	€6.00m
6	William Pacho	William Pacho	Centre-Back	21	Royal Antwerp FC	€3.50m
25	Jackson Porozo	Jackson Porozo	Centre-Back	22	ESTAC Troyes	€3.00m
4	Robert Arboleda	Robert Arboleda	Centre-Back	31	São Paulo Futebol Clube	€2.00m
14	Xavier Arreaga	Xavier Arreaga	Centre-Back	28	Seattle Sounders FC	€2.00m
7	Pervis Estupiñán	Pervis Estupiñán	Left-Back	24	Brighton & Hove Albion	€20.00m
18	Diego Palacios	Diego Palacios	Left-Back	23	Los Angeles FC	€4.00m
17	Angelo Preciado	Angelo Preciado	Right-Back	24	KRC Genk	€3.20m
8	Carlos Gruezo	Carlos Gruezo	Defensive Midfield	27	FC Augsburg	€4.00m
20	Jhegson Méndez	Jhegson Méndez	Defensive Midfield	25	Los Angeles FC	€1.50m
23	Moisés Caicedo	Moisés Caicedo	Central Midfield	21	Brighton & Hove Albion	€38.00m
5	José Cifuentes	José Cifuentes	Central Midfield	23	Los Angeles FC	€12.00m
21	Alan Franco	Alan Franco	Central Midfield	24	Club Atlético Talleres	€2.50m
16	Jeremy Sarmiento	Jeremy Sarmiento	Attacking Midfield	20	Brighton & Hove Albion	€3.00m
9	Ayrton Preciado	Ayrton Preciado	Left Winger	28	Santos Laguna	€2.50m
10	Romario Ibarra	Romario Ibarra	Left Winger	28	CF Pachuca	€1.80m
19	Gonzalo Plata	Gonzalo Plata	Right Winger	22	Real Valladolid CF	€5.00m
15	Ángel Mena	Ángel Mena	Right Winger	34	Club León FC	€1.50m
11	Michael Estrada	Michael Estrada	Centre-Forward	26	CD Cruz Azul	€3.00m
13	Enner Valencia	Enner Valencia	Centre-Forward	33	Fenerbahce	€3.00m
24	Djorkaeff Reasco	Djorkaeff Reasco	Centre-Forward	23	CA Newell's Old Boys	€500k
26	Kevin Rodríguez	Kevin Rodríguez	Centre-Forward	22	Imbabura SC	€300k
