Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
13	Justin Bijlow	Justin Bijlow	Goalkeeper	24	Feyenoord Rotterdam	€13.00m
23	Andries Noppert	Andries Noppert	Goalkeeper	28	SC Heerenveen	€2.00m
1	Remko Pasveer	Remko Pasveer	Goalkeeper	39	Ajax Amsterdam	€250k
3	Matthijs de Ligt	Matthijs de Ligt	Centre-Back	23	Bayern Munich	€70.00m
4	Virgil van Dijk	Virgil van Dijk	Centre-Back	31	Liverpool FC	€50.00m
2	Jurrien Timber	Jurrien Timber	Centre-Back	21	Ajax Amsterdam	€45.00m
5	Nathan Aké	Nathan Aké	Centre-Back	27	Manchester City	€30.00m
6	Stefan de Vrij	Stefan de Vrij	Centre-Back	30	Inter Milan	€15.00m
16	Tyrell Malacia	Tyrell Malacia	Left-Back	23	Manchester United	€22.00m
17	Daley Blind	Daley Blind	Left-Back	32	Ajax Amsterdam	€6.00m
26	Jeremie Frimpong	Jeremie Frimpong	Right-Back	21	Bayer 04 Leverkusen	€25.00m
20	Teun Koopmeiners	Teun Koopmeiners	Defensive Midfield	24	Atalanta BC	€30.00m
15	Marten de Roon	Marten de Roon	Defensive Midfield	31	Atalanta BC	€12.00m
21	Frenkie de Jong	Frenkie de Jong	Central Midfield	25	FC Barcelona	€50.00m
24	Kenneth Taylor	Kenneth Taylor	Central Midfield	20	Ajax Amsterdam	€14.00m
22	Denzel Dumfries	Denzel Dumfries	Right Midfield	26	Inter Milan	€28.00m
25	Xavi Simons	Xavi Simons	Attacking Midfield	19	PSV Eindhoven	€18.00m
11	Steven Berghuis	Steven Berghuis	Attacking Midfield	30	Ajax Amsterdam	€14.00m
14	Davy Klaassen	Davy Klaassen	Attacking Midfield	29	Ajax Amsterdam	€12.00m
8	Cody Gakpo	Cody Gakpo	Left Winger	23	PSV Eindhoven	€45.00m
7	Steven Bergwijn	Steven Bergwijn	Left Winger	25	Ajax Amsterdam	€27.00m
12	Noa Lang	Noa Lang	Left Winger	23	Club Brugge KV	€15.00m
10	Memphis Depay	Memphis Depay	Centre-Forward	28	FC Barcelona	€20.00m
19	Wout Weghorst	Wout Weghorst	Centre-Forward	30	Besiktas JK	€14.00m
18	Vincent Janssen	Vincent Janssen	Centre-Forward	28	Royal Antwerp FC	€6.00m
9	Luuk de Jong	Luuk de Jong	Centre-Forward	32	PSV Eindhoven	€4.00m
