Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
12	Rodolfo Cota	Rodolfo Cota	Goalkeeper	35	Club León FC	€1.20m
13	Guillermo Ochoa	Guillermo Ochoa	Goalkeeper	37	CF América	€1.20m
1	Alfredo Talavera	Alfredo Talavera	Goalkeeper	40	FC Juárez	€800k
3	César Montes	César Montes	Centre-Back	25	CF Monterrey	€7.00m
5	Johan Vásquez	Johan Vásquez	Centre-Back	24	US Cremonese	€3.60m
2	Néstor Araújo	Néstor Araújo	Centre-Back	31	CF América	€3.00m
15	Héctor Moreno	Héctor Moreno	Centre-Back	34	CF Monterrey	€1.50m
6	Gerardo Arteaga	Gerardo Arteaga	Left-Back	24	KRC Genk	€5.00m
23	Jesús Gallardo	Jesús Gallardo	Left-Back	28	CF Monterrey	€3.00m
19	Jorge Sánchez	Jorge Sánchez	Right-Back	24	Ajax Amsterdam	€6.00m
26	Kevin Álvarez	Kevin Álvarez	Right-Back	23	CF Pachuca	€6.00m
4	Edson Álvarez	Edson Álvarez	Defensive Midfield	25	Ajax Amsterdam	€35.00m
24	Luis Chávez	Luis Chávez	Defensive Midfield	26	CF Pachuca	€6.50m
8	Carlos Rodríguez	Carlos Rodríguez	Central Midfield	25	CD Cruz Azul	€8.00m
14	Érick Gutiérrez	Érick Gutiérrez	Central Midfield	27	PSV Eindhoven	€7.00m
7	Luis Romo	Luis Romo	Central Midfield	27	CF Monterrey	€6.50m
17	Orbelín Pineda	Orbelín Pineda	Central Midfield	26	AEK Athens	€4.00m
16	Héctor Herrera	Héctor Herrera	Central Midfield	32	Houston Dynamo FC	€2.80m
18	Andrés Guardado	Andrés Guardado	Central Midfield	36	Real Betis Balompié	€1.50m
10	Alexis Vega	Alexis Vega	Left Winger	24	Deportivo Guadalajara	€8.00m
22	Hirving Lozano	Hirving Lozano	Right Winger	27	SSC Napoli	€28.00m
25	Roberto Alvarado	Roberto Alvarado	Right Winger	24	Deportivo Guadalajara	€5.00m
21	Uriel Antuna	Uriel Antuna	Right Winger	25	CD Cruz Azul	€4.00m
9	Raúl Jiménez	Raúl Jiménez	Centre-Forward	31	Wolverhampton Wanderers	€12.00m
20	Henry Martín	Henry Martín	Centre-Forward	30	CF América	€6.00m
11	Rogelio Funes Mori	Rogelio Funes Mori	Centre-Forward	31	CF Monterrey	€3.50m
