Mundial, Anio, Local, GL, Visita, GV
Qatar, 2022, Qatar, 0, Ecuador, 2
Rusia, 2018, Rusia, 5, Arabia Saudita, 0
Brasil, 2014, Brasil, 3, Croacia, 1
Sudafrica, 2010, Sudafrica, 1, Mexico, 1
Alemania, 2006, Alemania, 4, Costa Rica, 2
Corea-Japon, 2002, Senegal, 1, Francia, 0
Francia, 1998, Brasil, 2, Escocia, 1
Usa, 1994, Alemania, 1, Bolivia, 0
Italia, 1990, Camerun, 1, Argentina, 0
Mexico, 1986, Italia, 1, Bulgaria, 1
Espana, 1982, Belgica, 1, Argentina, 0
Argentina, 1978, Alemania, 0, Polonia, 0
Alemania, 1974, Alemania, 1, Chile, 0
Mexico, 1970, Mexico, 0, URSS, 0
Inglaterra, 1966, Inglaterra, 0, Uruguay, 0
Chile, 1962, Uruguay, 2, Colombia, 1
Suecia, 1958, Francia, 7, Paraguay, 3
Suiza, 1954, Yugoslavia, 1, Francia, 0
Brasil, 1950, Brasil, 4, Mexico, 0
Francia, 1938, Suiza, 1, Alemania, 1
Italia, 1934, Suecia, 3, Argentina, 2
Uruguay, 1930, Usa, 3, Belgica, 0
