Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
1	Wojciech Szczesny	Wojciech Szczesny	Goalkeeper	32	Juventus FC	€13.00m
22	Kamil Grabara	Kamil Grabara	Goalkeeper	23	FC Copenhagen	€5.00m
12	Lukasz Skorupski	Lukasz Skorupski	Goalkeeper	31	Bologna FC 1909	€3.00m
5	Jan Bednarek	Jan Bednarek	Centre-Back	26	Aston Villa	€18.00m
14	Jakub Kiwior	Jakub Kiwior	Centre-Back	22	Spezia Calcio	€6.00m
4	Mateusz Wieteska	Mateusz Wieteska	Centre-Back	25	Clermont Foot 63	€3.00m
15	Kamil Glik	Kamil Glik	Centre-Back	34	Benevento Calcio	€800k
3	Artur Jedrzejczyk	Artur Jedrzejczyk	Centre-Back	35	Legia Warszawa	€300k
2	Matty Cash	Matty Cash	Right-Back	25	Aston Villa	€22.00m
25	Robert Gumny	Robert Gumny	Right-Back	24	FC Augsburg	€3.50m
18	Bartosz Bereszynski	Bartosz Bereszynski	Right-Back	30	UC Sampdoria	€3.00m
10	Grzegorz Krychowiak	Grzegorz Krychowiak	Defensive Midfield	32	Al-Shabab Club (Riyadh)	€6.00m
6	Krystian Bielik	Krystian Bielik	Defensive Midfield	24	Birmingham City	€3.00m
17	Szymon Zurkowski	Szymon Zurkowski	Central Midfield	25	ACF Fiorentina	€5.80m
8	Damian Szymanski	Damian Szymanski	Central Midfield	27	AEK Athens	€2.00m
24	Przemyslaw Frankowski	Przemyslaw Frankowski	Right Midfield	27	RC Lens	€7.00m
21	Nicola Zalewski	Nicola Zalewski	Left Midfield	20	AS Roma	€15.00m
20	Piotr Zielinski	Piotr Zielinski	Attacking Midfield	28	SSC Napoli	€40.00m
19	Sebastian Szymanski	Sebastian Szymanski	Attacking Midfield	23	Feyenoord Rotterdam	€14.00m
13	Jakub Kaminski	Jakub Kaminski	Left Winger	20	VfL Wolfsburg	€10.00m
11	Kamil Grosicki	Kamil Grosicki	Left Winger	34	Pogon Szczecin	€700k
26	Michal Skoras	Michal Skoras	Right Winger	22	Lech Poznan	€3.50m
9	Robert Lewandowski	Robert Lewandowski	Centre-Forward	34	FC Barcelona	€45.00m
23	Krzysztof Piatek	Krzysztof Piatek	Centre-Forward	27	US Salernitana 1919	€11.00m
7	Arkadiusz Milik	Arkadiusz Milik	Centre-Forward	28	Juventus FC	€10.00m
16	Karol Swiderski	Karol Swiderski	Centre-Forward	25	Charlotte FC	€5.00m
