Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
22	Meshaal Barsham	Meshaal Barsham	Goalkeeper	24	Al-Sadd SC	€450k  
1	Saad Al-Sheeb	Saad Al-Sheeb	Goalkeeper	32	Al-Sadd SC	€200k  
21	Yousef Hassan	Yousef Hassan	Goalkeeper	26	Al-Gharafa SC	€150k  
15	Bassam Al-Rawi	Bassam Al-Rawi	Centre-Back	24	Al-Duhail SC	€500k  
5	Tarek Salman	Tarek Salman	Centre-Back	24	Al-Sadd SC	€400k  
16	Boualem Khoukhi	Boualem Khoukhi	Centre-Back	32	Al-Sadd SC	€400k  
2	Pedro Miguel	Pedro Miguel	Centre-Back	32	Al-Sadd SC	€325k  
25	Jassem Gaber Abdulsallam	Jassem Gaber Abdulsallam	Centre-Back	20	Al-Arabi SC	€175k  
3	Abdelkarim Hassan	Abdelkarim Hassan	Left-Back	29	Al-Sadd SC	€750k  
14	Homam Ahmed	Homam Ahmed	Left-Back	23	Al-Gharafa SC	€500k  
13	Musab Khoder	Musab Khoder	Right-Back	29	Al-Sadd SC	€250k  
12	Karim Boudiaf	Karim Boudiaf	Defensive Midfield	32	Al-Duhail SC	€450k  
4	Mohammed Waad	Mohammed Waad	Defensive Midfield	23	Al-Sadd SC	€400k  
23	Assim Madibo	Assim Madibo	Defensive Midfield	26	Al-Duhail SC	€300k  
20	Salem Al-Hajri	Salem Al-Hajri	Defensive Midfield	26	Al-Sadd SC	€250k  
6	Abdulaziz Hatem	Abdulaziz Hatem	Central Midfield	32	Al-Rayyan SC	€500k  
26	Mustafa Mashaal	Mustafa Mashaal	Central Midfield	21	Al-Sadd SC	€150k  
8	Ali Asad	Ali Asad	Attacking Midfield	29	Al-Sadd SC	€200k  
11	Akram Afif	Akram Afif	Left Winger	26	Al-Sadd SC	€4.00m  
18	Khalid Muneer Mazeed	Khalid Muneer Mazeed	Left Winger	24	Al-Wakrah SC	€250k  
10	Hasan Al-Haydos	Hasan Al-Haydos	Right Winger	31	Al-Sadd SC	€900k  
24	Naif Al-Hadhrami	Naif Al-Hadhrami	Right Winger	21	Al-Rayyan SC	€300k  
17	Ismaeel Mohammed	Ismaeel Mohammed	Right Winger	32	Al-Duhail SC	€225k  
19	Almoez Ali	Almoez Ali	Centre-Forward	26	Al-Duhail SC	€2.00m  
7	Ahmed Alaaeldin	Ahmed Alaaeldin	Centre-Forward	29	Al-Gharafa SC	€600k  
9	Mohammed Muntari	Mohammed Muntari	Centre-Forward	28	Al-Duhail SC	€300k 
