Grupo	Seleccion	Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
A	Ecuador	12	Moisés Ramírez	Moisés Ramírez	Goalkeeper	22	Independiente del Valle	€1.00m
A	Ecuador	1	Hernán Galíndez	Hernán Galíndez	Goalkeeper	35	SD Aucas	€600k
A	Ecuador	22	Alexander Domínguez	Alexander Domínguez	Goalkeeper	35	LDU Quito	€600k
A	Ecuador	3	Piero Hincapié	Piero Hincapié	Centre-Back	20	Bayer 04 Leverkusen	€22.00m
A	Ecuador	2	Félix Torres	Félix Torres	Centre-Back	25	Santos Laguna	€6.00m
A	Ecuador	6	William Pacho	William Pacho	Centre-Back	21	Royal Antwerp FC	€3.50m
A	Ecuador	25	Jackson Porozo	Jackson Porozo	Centre-Back	22	ESTAC Troyes	€3.00m
A	Ecuador	4	Robert Arboleda	Robert Arboleda	Centre-Back	31	São Paulo Futebol Clube	€2.00m
A	Ecuador	14	Xavier Arreaga	Xavier Arreaga	Centre-Back	28	Seattle Sounders FC	€2.00m
A	Ecuador	7	Pervis Estupiñán	Pervis Estupiñán	Left-Back	24	Brighton & Hove Albion	€20.00m
A	Ecuador	18	Diego Palacios	Diego Palacios	Left-Back	23	Los Angeles FC	€4.00m
A	Ecuador	17	Angelo Preciado	Angelo Preciado	Right-Back	24	KRC Genk	€3.20m
A	Ecuador	8	Carlos Gruezo	Carlos Gruezo	Defensive Midfield	27	FC Augsburg	€4.00m
A	Ecuador	20	Jhegson Méndez	Jhegson Méndez	Defensive Midfield	25	Los Angeles FC	€1.50m
A	Ecuador	23	Moisés Caicedo	Moisés Caicedo	Central Midfield	21	Brighton & Hove Albion	€38.00m
A	Ecuador	5	José Cifuentes	José Cifuentes	Central Midfield	23	Los Angeles FC	€12.00m
A	Ecuador	21	Alan Franco	Alan Franco	Central Midfield	24	Club Atlético Talleres	€2.50m
A	Ecuador	16	Jeremy Sarmiento	Jeremy Sarmiento	Attacking Midfield	20	Brighton & Hove Albion	€3.00m
A	Ecuador	9	Ayrton Preciado	Ayrton Preciado	Left Winger	28	Santos Laguna	€2.50m
A	Ecuador	10	Romario Ibarra	Romario Ibarra	Left Winger	28	CF Pachuca	€1.80m
A	Ecuador	19	Gonzalo Plata	Gonzalo Plata	Right Winger	22	Real Valladolid CF	€5.00m
A	Ecuador	15	Ángel Mena	Ángel Mena	Right Winger	34	Club León FC	€1.50m
A	Ecuador	11	Michael Estrada	Michael Estrada	Centre-Forward	26	CD Cruz Azul	€3.00m
A	Ecuador	13	Enner Valencia	Enner Valencia	Centre-Forward	33	Fenerbahce	€3.00m
A	Ecuador	24	Djorkaeff Reasco	Djorkaeff Reasco	Centre-Forward	23	CA Newell's Old Boys	€500k
A	Ecuador	26	Kevin Rodríguez	Kevin Rodríguez	Centre-Forward	22	Imbabura SC	€300k
A	Qatar	22	Meshaal Barsham	Meshaal Barsham	Goalkeeper	24	Al-Sadd SC	€450k
A	Qatar	1	Saad Al-Sheeb	Saad Al-Sheeb	Goalkeeper	32	Al-Sadd SC	€200k
A	Qatar	21	Yousef Hassan	Yousef Hassan	Goalkeeper	26	Al-Gharafa SC	€150k
A	Qatar	15	Bassam Al-Rawi	Bassam Al-Rawi	Centre-Back	24	Al-Duhail SC	€500k
A	Qatar	5	Tarek Salman	Tarek Salman	Centre-Back	24	Al-Sadd SC	€400k
A	Qatar	16	Boualem Khoukhi	Boualem Khoukhi	Centre-Back	32	Al-Sadd SC	€400k
A	Qatar	2	Pedro Miguel	Pedro Miguel	Centre-Back	32	Al-Sadd SC	€325k
A	Qatar	25	Jassem Gaber Abdulsallam	Jassem Gaber Abdulsallam	Centre-Back	20	Al-Arabi SC	€175k
A	Qatar	3	Abdelkarim Hassan	Abdelkarim Hassan	Left-Back	29	Al-Sadd SC	€750k
A	Qatar	14	Homam Ahmed	Homam Ahmed	Left-Back	23	Al-Gharafa SC	€500k
A	Qatar	13	Musab Khoder	Musab Khoder	Right-Back	29	Al-Sadd SC	€250k
A	Qatar	12	Karim Boudiaf	Karim Boudiaf	Defensive Midfield	32	Al-Duhail SC	€450k
A	Qatar	4	Mohammed Waad	Mohammed Waad	Defensive Midfield	23	Al-Sadd SC	€400k
A	Qatar	23	Assim Madibo	Assim Madibo	Defensive Midfield	26	Al-Duhail SC	€300k
A	Qatar	20	Salem Al-Hajri	Salem Al-Hajri	Defensive Midfield	26	Al-Sadd SC	€250k
A	Qatar	6	Abdulaziz Hatem	Abdulaziz Hatem	Central Midfield	32	Al-Rayyan SC	€500k
A	Qatar	26	Mustafa Mashaal	Mustafa Mashaal	Central Midfield	21	Al-Sadd SC	€150k
A	Qatar	8	Ali Asad	Ali Asad	Attacking Midfield	29	Al-Sadd SC	€200k
A	Qatar	11	Akram Afif	Akram Afif	Left Winger	26	Al-Sadd SC	€4.00m
A	Qatar	18	Khalid Muneer Mazeed	Khalid Muneer Mazeed	Left Winger	24	Al-Wakrah SC	€250k
A	Qatar	10	Hasan Al-Haydos	Hasan Al-Haydos	Right Winger	31	Al-Sadd SC	€900k
A	Qatar	24	Naif Al-Hadhrami	Naif Al-Hadhrami	Right Winger	21	Al-Rayyan SC	€300k
A	Qatar	17	Ismaeel Mohammed	Ismaeel Mohammed	Right Winger	32	Al-Duhail SC	€225k
A	Qatar	19	Almoez Ali	Almoez Ali	Centre-Forward	26	Al-Duhail SC	€2.00m
A	Qatar	7	Ahmed Alaaeldin	Ahmed Alaaeldin	Centre-Forward	29	Al-Gharafa SC	€600k
A	Qatar	9	Mohammed Muntari	Mohammed Muntari	Centre-Forward	28	Al-Duhail SC	€300k
A	Paises Bajos	13	Justin Bijlow	Justin Bijlow	Goalkeeper	24	Feyenoord Rotterdam	€13.00m
A	Paises Bajos	23	Andries Noppert	Andries Noppert	Goalkeeper	28	SC Heerenveen	€2.00m
A	Paises Bajos	1	Remko Pasveer	Remko Pasveer	Goalkeeper	39	Ajax Amsterdam	€250k
A	Paises Bajos	3	Matthijs de Ligt	Matthijs de Ligt	Centre-Back	23	Bayern Munich	€70.00m
A	Paises Bajos	4	Virgil van Dijk	Virgil van Dijk	Centre-Back	31	Liverpool FC	€50.00m
A	Paises Bajos	2	Jurrien Timber	Jurrien Timber	Centre-Back	21	Ajax Amsterdam	€45.00m
A	Paises Bajos	5	Nathan Aké	Nathan Aké	Centre-Back	27	Manchester City	€30.00m
A	Paises Bajos	6	Stefan de Vrij	Stefan de Vrij	Centre-Back	30	Inter Milan	€15.00m
A	Paises Bajos	16	Tyrell Malacia	Tyrell Malacia	Left-Back	23	Manchester United	€22.00m
A	Paises Bajos	17	Daley Blind	Daley Blind	Left-Back	32	Ajax Amsterdam	€6.00m
A	Paises Bajos	26	Jeremie Frimpong	Jeremie Frimpong	Right-Back	21	Bayer 04 Leverkusen	€25.00m
A	Paises Bajos	20	Teun Koopmeiners	Teun Koopmeiners	Defensive Midfield	24	Atalanta BC	€30.00m
