`Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
1	Edouard Mendy	Edouard Mendy	Goalkeeper	30	Chelsea FC	€25.00m  
26	Alfred Gomis	Alfred Gomis	Goalkeeper	29	Stade Rennais FC	€3.00m  
23	Seny Dieng	Seny Dieng	Goalkeeper	27	Queens Park Rangers	€1.50m 
3	Kalidou Koulibaly	Kalidou Koulibaly	Centre-Back	31	Chelsea FC	€35.00m  
4	Abdou Diallo	Abdou Diallo	Centre-Back	26	RB Leipzig	€15.00m  
12	Pape Abou Cissé	Pape Abou Cissé	Centre-Back	27	Olympiacos Piraeus	€6.00m  
11	Formose Mendy	Formose Mendy	Centre-Back	21	Amiens SC	€2.50m  
2	Ismail Jakobs	Ismail Jakobs	Left-Back	23	AS Monaco	€7.00m  
22	Fodé Ballo-Touré	Fodé Ballo-Touré	Left-Back	25	AC Milan	€3.50m  
7	Youssouf Sabaly	Youssouf Sabaly	Right-Back	29	Real Betis Balompié	€4.00m  
13	Pape Gueye	Pape Gueye	Defensive Midfield	23	Olympique Marseille	€10.00m  
6	Nampalys Mendy	Nampalys Mendy	Defensive Midfield	30	Leicester City	€3.50m  
24	Mamadou Loum	Mamadou Loum	Defensive Midfield	25	Reading FC	€3.50m 
8	Cheikhou Kouyaté	Cheikhou Kouyaté	Defensive Midfield	32	Nottingham Forest	€3.00m  
17	Pape Matar Sarr	Pape Matar Sarr	Central Midfield	20	Tottenham Hotspur	€15.00m  
5	Idrissa Gueye	Idrissa Gueye	Central Midfield	33	Everton FC	€8.00m  
16	Pathé Ciss	Pathé Ciss	Central Midfield	28	Rayo Vallecano	€4.00m  
14	Moustapha Name	Moustapha Name	Central Midfield	27	Pafos FC	€2.00m  
9	Iliman Ndiaye	Iliman Ndiaye	Attacking Midfield	22	Sheffield United	€3.50m 
18	Ismaïla Sarr	Ismaïla Sarr	Right Winger	24	Watford FC	€22.00m 
25	Nicolas Jackson	Nicolas Jackson	Right Winger	21	Villarreal CF	€15.00m  
15	Krépin Diatta	Krépin Diatta	Right Winger	23	AS Monaco	€13.00m  
21	Boulaye Dia	Boulaye Dia	Centre-Forward	26	US Salernitana 1919	€12.00m  
20	Bamba Dieng	Bamba Dieng	Centre-Forward	22	Olympique Marseille	€8.00m  
19	Famara Diédhiou	Famara Diédhiou	Centre-Forward	29	Alanyaspor	€3.00m`
