Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
1	Matt Turner	Matt Turner	Goalkeeper	28	Arsenal FC	€5.00m
25	Sean Johnson	Sean Johnson	Goalkeeper	33	New York City FC	€1.50m
12	Ethan Horvath	Ethan Horvath	Goalkeeper	27	Luton Town	€1.00m
20	Cameron Carter-Vickers	Cameron Carter-Vickers	Centre-Back	24	Celtic FC	€9.50m
3	Walker Zimmerman	Walker Zimmerman	Centre-Back	29	Nashville SC	€3.50m
15	Aaron Long	Aaron Long	Centre-Back	30	New York Red Bulls	€3.00m
13	Tim Ream	Tim Ream	Centre-Back	35	Fulham FC	€1.00m
5	Antonee Robinson	Antonee Robinson	Left-Back	25	Fulham FC	€10.00m
2	Sergiño Dest	Sergiño Dest	Right-Back	22	AC Milan	€16.00m
26	Joe Scally	Joe Scally	Right-Back	19	Borussia Mönchengladbach	€12.00m
22	DeAndre Yedlin	DeAndre Yedlin	Right-Back	29	Inter Miami CF	€2.00m
18	Shaq Moore	Shaq Moore	Right-Back	26	Nashville SC	€1.00m
4	Tyler Adams	Tyler Adams	Defensive Midfield	23	Leeds United	€17.00m
23	Kellyn Acosta	Kellyn Acosta	Defensive Midfield	27	Los Angeles FC	€3.00m
8	Weston McKennie	Weston McKennie	Central Midfield	24	Juventus FC	€21.00m
6	Yunus Musah	Yunus Musah	Central Midfield	19	Valencia CF	€20.00m
17	Cristian Roldán	Cristian Roldán	Central Midfield	27	Seattle Sounders FC	€6.00m
14	Luca de la Torre	Luca de la Torre	Central Midfield	24	Celta de Vigo	€2.00m
7	Giovanni Reyna	Giovanni Reyna	Attacking Midfield	20	Borussia Dortmund	€35.00m
11	Brenden Aaronson	Brenden Aaronson	Attacking Midfield	22	Leeds United	€30.00m
16	Jordan Morris	Jordan Morris	Left Winger	28	Seattle Sounders FC	€4.50m
10	Christian Pulisic	Christian Pulisic	Right Winger	24	Chelsea FC	€38.00m
21	Timothy Weah	Timothy Weah	Centre-Forward	22	LOSC Lille	€12.00m
24	Josh Sargent	Josh Sargent	Centre-Forward	22	Norwich City	€12.00m
9	Jesús Ferreira	Jesús Ferreira	Centre-Forward	21	FC Dallas	€8.00m
19	Haji Wright	Haji Wright	Centre-Forward	24	Antalyaspor	€3.40m
