Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
12	Danny Ward	Danny Ward	Goalkeeper	29	Leicester City	€8.00m
1	Wayne Hennessey	Wayne Hennessey	Goalkeeper	35	Nottingham Forest	€500k
21	Adam Davies	Adam Davies	Goalkeeper	30	Sheffield United	€500k
6	Joe Rodon	Joe Rodon	Centre-Back	25	Stade Rennais FC	€9.00m
15	Ethan Ampadu	Ethan Ampadu	Centre-Back	22	Spezia Calcio	€9.00m
24	Ben Cabango	Ben Cabango	Centre-Back	22	Swansea City	€8.00m
5	Chris Mepham	Chris Mepham	Centre-Back	25	AFC Bournemouth	€6.00m
17	Tom Lockyer	Tom Lockyer	Centre-Back	27	Luton Town	€2.00m
4	Ben Davies	Ben Davies	Left-Back	29	Tottenham Hotspur	€20.00m
3	Neco Williams	Neco Williams	Right-Back	21	Nottingham Forest	€18.00m
14	Connor Roberts	Connor Roberts	Right-Back	27	Burnley FC	€6.00m
2	Chris Gunter	Chris Gunter	Right-Back	33	AFC Wimbledon	€300k
26	Matt Smith	Matt Smith	Defensive Midfield	22	Milton Keynes Dons	€600k
10	Aaron Ramsey	Aaron Ramsey	Central Midfield	31	OGC Nice	€3.00m
7	Joe Allen	Joe Allen	Central Midfield	32	Swansea City	€1.00m
23	Dylan Levitt	Dylan Levitt	Central Midfield	22	Dundee United FC	€850k
16	Joe Morrell	Joe Morrell	Central Midfield	25	Portsmouth FC	€500k
25	Rubin Colwill	Rubin Colwill	Attacking Midfield	20	Cardiff City	€1.50m
18	Jonathan Williams	Jonathan Williams	Attacking Midfield	29	Swindon Town	€400k
8	Harry Wilson	Harry Wilson	Right Winger	25	Fulham FC	€17.00m
20	Daniel James	Daniel James	Right Winger	25	Fulham FC	€16.00m
22	Sorba Thomas	Sorba Thomas	Right Winger	23	Huddersfield Town	€5.00m
11	Gareth Bale	Gareth Bale	Right Winger	33	Los Angeles FC	€2.00m
9	Brennan Johnson	Brennan Johnson	Second Striker	21	Nottingham Forest	€20.00m
13	Kieffer Moore	Kieffer Moore	Centre-Forward	30	AFC Bournemouth	€4.00m
19	Mark Harris	Mark Harris	Centre-Forward	23	Cardiff City	€1.00m
