"Seleccion"	"Ago18"	"Sep18"	"Oct18"	"Nov18"	"Dic18"	"Feb19"	"Abr19"	"Jun19"	"Jul19"	"Sep19"	"Oct19"	"Nov19"	"Dic19"	"Feb20"	"Abr20"	"Jun20"	"Jul20"	"Sep20"	"Oct20"	"Nov20"	"Dic20"	"Feb21"	"Abr21"	"May21"	"Ago21"	"Sep21"	"Oct21"	"Nov21"	"Dic21"	"Feb22"	"Mar22"
"France"	1	1	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	3	3	3	3	3
"Belgium"	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
"Brazil"	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	1
"Croatia"	4	4	4	4	4	4	5	6	7	8	7	6	6	6	6	6	6	8	9	11	11	11	14	14	18	17	18	15	15	15	16
"Uruguay"	5	5	6	7	7	7	6	8	5	6	5	5	5	5	5	5	5	6	7	8	8	8	9	9	13	12	15	17	17	16	13
"England"	6	6	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	5	4	4	5	5
"Portugal"	7	7	7	6	6	6	7	5	6	5	6	7	7	7	7	7	7	5	5	5	5	5	5	5	8	7	8	8	8	8	8
"Switzerland"	8	8	8	8	8	8	8	9	11	11	13	12	12	12	12	12	12	15	16	16	16	16	13	13	14	15	14	13	13	14	14
"Denmark"	9	10	10	10	10	10	10	10	13	14	14	16	16	16	16	16	16	16	13	12	12	12	10	10	11	10	10	9	9	9	11
"Spain"	10	9	9	9	9	9	9	7	9	7	8	8	8	8	8	8	8	7	6	6	6	6	6	6	7	8	7	7	7	7	7
"Argentina"	11	11	12	11	11	11	11	12	10	10	9	9	9	9	9	9	9	9	8	7	7	7	8	8	6	6	6	5	5	4	4
"Chile"	12	12	13	13	13	13	15	16	14	17	17	17	18	18	17	17	17	17	17	17	17	17	19	19	20	23	21	24	24	26	28
"Sweden"	13	15	17	14	14	14	14	17	18	18	18	18	17	17	18	18	18	18	19	21	21	21	18	18	17	18	17	18	18	17	19
"Colombia"	14	14	11	12	12	12	12	13	8	9	10	10	10	10	10	10	10	10	10	15	15	15	15	15	15	16	16	16	16	19	17
"Germany"	15	13	14	16	16	16	13	11	15	16	16	15	15	15	15	15	15	14	14	13	13	13	12	12	16	14	12	11	12	11	12
