"EQUIPOS"	"variable"	"value"
"Brasil"	"J1"	"1"
"Colombia"	"J1"	"2"
"Uruguay"	"J1"	"3"
"Argentina"	"J1"	"4"
"Paraguay"	"J1"	"5"
"Perú"	"J1"	"6"
"Chile"	"J1"	"7"
"Ecuador"	"J1"	"8"
"Venezuela"	"J1"	"9"
"Bolivia"	"J1"	"10"
"Brasil"	"J2"	"1"
"Colombia"	"J2"	"3"
"Uruguay"	"J2"	"6"
"Argentina"	"J2"	"2"
"Paraguay"	"J2"	"4"
"Perú"	"J2"	"8"
"Chile"	"J2"	"7"
"Ecuador"	"J2"	"5"
"Venezuela"	"J2"	"9"
"Bolivia"	"J2"	"10"
"Brasil"	"J3"	"1"
"Colombia"	"J3"	"7"
"Uruguay"	"J3"	"4"
"Argentina"	"J3"	"2"
"Paraguay"	"J3"	"5"
"Perú"	"J3"	"8"
"Chile"	"J3"	"6"
"Ecuador"	"J3"	"3"
"Venezuela"	"J3"	"9"
"Bolivia"	"J3"	"10"
"Brasil"	"J4"	"1"
"Colombia"	"J4"	"7"
"Uruguay"	"J4"	"5"
"Argentina"	"J4"	"2"
"Paraguay"	"J4"	"4"
"Perú"	"J4"	"9"
"Chile"	"J4"	"6"
"Ecuador"	"J4"	"3"
"Venezuela"	"J4"	"8"
"Bolivia"	"J4"	"10"
"Brasil"	"J5"	"1"
"Colombia"	"J5"	"8"
"Uruguay"	"J5"	"6"
"Argentina"	"J5"	"2"
"Paraguay"	"J5"	"5"
"Perú"	"J5"	"10"
"Chile"	"J5"	"4"
"Ecuador"	"J5"	"3"
"Venezuela"	"J5"	"7"
"Bolivia"	"J5"	"9"
"Brasil"	"J6"	"1"
"Colombia"	"J6"	"8"
"Uruguay"	"J6"	"4"
"Argentina"	"J6"	"2"
"Paraguay"	"J6"	"6"
"Perú"	"J6"	"9"
"Chile"	"J6"	"5"
"Ecuador"	"J6"	"3"
"Venezuela"	"J6"	"7"
"Bolivia"	"J6"	"10"
"Brasil"	"J7"	"1"
"Colombia"	"J7"	"6"
"Uruguay"	"J7"	"4"
"Argentina"	"J7"	"2"
"Paraguay"	"J7"	"7"
"Perú"	"J7"	"10"
"Chile"	"J7"	"5"
"Ecuador"	"J7"	"3"
"Venezuela"	"J7"	"9"
"Bolivia"	"J7"	"8"
"Brasil"	"J8"	"1"
"Colombia"	"J8"	"6"
"Uruguay"	"J8"	"3"
"Argentina"	"J8"	"2"
"Paraguay"	"J8"	"7"
"Perú"	"J8"	"10"
"Chile"	"J8"	"5"
"Ecuador"	"J8"	"4"
"Venezuela"	"J8"	"9"
"Bolivia"	"J8"	"8"
"Brasil"	"J9"	"1"
"Colombia"	"J9"	"5"
"Uruguay"	"J9"	"4"
"Argentina"	"J9"	"2"
"Paraguay"	"J9"	"8"
"Perú"	"J9"	"9"
"Chile"	"J9"	"6"
"Ecuador"	"J9"	"3"
"Venezuela"	"J9"	"10"
"Bolivia"	"J9"	"7"
"Brasil"	"J10"	"1"
"Colombia"	"J10"	"4"
"Uruguay"	"J10"	"3"
"Argentina"	"J10"	"2"
"Paraguay"	"J10"	"6"
"Perú"	"J10"	"9"
"Chile"	"J10"	"7"
"Ecuador"	"J10"	"5"
"Venezuela"	"J10"	"10"
"Bolivia"	"J10"	"8"
"Brasil"	"J11"	"1"
"Colombia"	"J11"	"5"
"Uruguay"	"J11"	"4"
"Argentina"	"J11"	"2"
"Paraguay"	"J11"	"6"
"Perú"	"J11"	"7"
"Chile"	"J11"	"8"
"Ecuador"	"J11"	"3"
"Venezuela"	"J11"	"10"
"Bolivia"	"J11"	"9"
"Brasil"	"J12"	"1"
"Colombia"	"J12"	"4"
"Uruguay"	"J12"	"5"
"Argentina"	"J12"	"2"
"Paraguay"	"J12"	"8"
"Perú"	"J12"	"9"
"Chile"	"J12"	"6"
"Ecuador"	"J12"	"3"
"Venezuela"	"J12"	"10"
"Bolivia"	"J12"	"7"
"Brasil"	"J13"	"1"
"Colombia"	"J13"	"5"
"Uruguay"	"J13"	"6"
"Argentina"	"J13"	"2"
"Paraguay"	"J13"	"8"
"Perú"	"J13"	"7"
"Chile"	"J13"	"4"
"Ecuador"	"J13"	"3"
"Venezuela"	"J13"	"10"
"Bolivia"	"J13"	"9"
"Brasil"	"J14"	"1"
"Colombia"	"J14"	"4"
"Uruguay"	"J14"	"7"
"Argentina"	"J14"	"2"
"Paraguay"	"J14"	"9"
"Perú"	"J14"	"5"
"Chile"	"J14"	"6"
"Ecuador"	"J14"	"3"
"Venezuela"	"J14"	"10"
"Bolivia"	"J14"	"8"
"Brasil"	"J15"	"1"
"Colombia"	"J15"	"6"
"Uruguay"	"J15"	"5"
"Argentina"	"J15"	"2"
"Paraguay"	"J15"	"9"
"Perú"	"J15"	"4"
"Chile"	"J15"	"7"
"Ecuador"	"J15"	"3"
"Venezuela"	"J15"	"10"
"Bolivia"	"J15"	"8"
"Brasil"	"J16"	"1"
"Colombia"	"J16"	"7"
"Uruguay"	"J16"	"4"
"Argentina"	"J16"	"2"
"Paraguay"	"J16"	"9"
"Perú"	"J16"	"5"
"Chile"	"J16"	"6"
"Ecuador"	"J16"	"3"
"Venezuela"	"J16"	"10"
"Bolivia"	"J16"	"8"
"Brasil"	"J17"	"1"
"Colombia"	"J17"	"6"
"Uruguay"	"J17"	"4"
"Argentina"	"J17"	"2"
"Paraguay"	"J17"	"8"
"Perú"	"J17"	"5"
"Chile"	"J17"	"7"
"Ecuador"	"J17"	"3"
"Venezuela"	"J17"	"10"
"Bolivia"	"J17"	"9"
