"EQUIPOS"	"variable"	"value"
"Emelec"	"J1"	"1"
"Aucas"	"J1"	"2"
"Independiente del Valle"	"J1"	"3"
"Nueve de Octubre"	"J1"	"4"
"Universidad Católica"	"J1"	"5"
"Delfín SC"	"J1"	"6"
"Deportivo Cuenca"	"J1"	"7"
"LDU Quito"	"J1"	"8"
"Mushuc Runa"	"J1"	"9"
"Barcelona SC"	"J1"	"10"
"Gualaceo SC"	"J1"	"11"
"Guayaquil City"	"J1"	"12"
"Macará"	"J1"	"13"
"Cumbayá FC"	"J1"	"14"
"Orense SC"	"J1"	"15"
"Técnico Univ."	"J1"	"16"
"Emelec"	"J2"	"1"
"Aucas"	"J2"	"2"
"Independiente del Valle"	"J2"	"3"
"Nueve de Octubre"	"J2"	"4"
"Universidad Católica"	"J2"	"5"
"Delfín SC"	"J2"	"6"
"Deportivo Cuenca"	"J2"	"7"
"LDU Quito"	"J2"	"8"
"Mushuc Runa"	"J2"	"9"
"Barcelona SC"	"J2"	"10"
"Gualaceo SC"	"J2"	"11"
"Guayaquil City"	"J2"	"12"
"Macará"	"J2"	"13"
"Cumbayá FC"	"J2"	"14"
"Orense SC"	"J2"	"15"
"Técnico Univ."	"J2"	"16"
"Emelec"	"J3"	"1"
"Aucas"	"J3"	"2"
"Independiente del Valle"	"J3"	"3"
"Nueve de Octubre"	"J3"	"4"
"Universidad Católica"	"J3"	"5"
"Delfín SC"	"J3"	"6"
"Deportivo Cuenca"	"J3"	"7"
"LDU Quito"	"J3"	"8"
"Mushuc Runa"	"J3"	"9"
"Barcelona SC"	"J3"	"10"
"Gualaceo SC"	"J3"	"11"
"Guayaquil City"	"J3"	"12"
"Macará"	"J3"	"13"
"Cumbayá FC"	"J3"	"14"
"Orense SC"	"J3"	"15"
"Técnico Univ."	"J3"	"16"
"Emelec"	"J4"	"1"
"Aucas"	"J4"	"2"
"Independiente del Valle"	"J4"	"3"
"Nueve de Octubre"	"J4"	"4"
"Universidad Católica"	"J4"	"5"
"Delfín SC"	"J4"	"6"
"Deportivo Cuenca"	"J4"	"7"
"LDU Quito"	"J4"	"8"
"Mushuc Runa"	"J4"	"9"
"Barcelona SC"	"J4"	"10"
"Gualaceo SC"	"J4"	"11"
"Guayaquil City"	"J4"	"12"
"Macará"	"J4"	"13"
"Cumbayá FC"	"J4"	"14"
"Orense SC"	"J4"	"15"
"Técnico Univ."	"J4"	"16"
"Emelec"	"J5"	"1"
"Aucas"	"J5"	"2"
"Independiente del Valle"	"J5"	"3"
"Nueve de Octubre"	"J5"	"4"
"Universidad Católica"	"J5"	"5"
"Delfín SC"	"J5"	"6"
"Deportivo Cuenca"	"J5"	"7"
"LDU Quito"	"J5"	"8"
"Mushuc Runa"	"J5"	"9"
"Barcelona SC"	"J5"	"10"
"Gualaceo SC"	"J5"	"11"
"Guayaquil City"	"J5"	"12"
"Macará"	"J5"	"13"
"Cumbayá FC"	"J5"	"14"
"Orense SC"	"J5"	"15"
"Técnico Univ."	"J5"	"16"
"Emelec"	"J6"	"1"
"Aucas"	"J6"	"2"
"Independiente del Valle"	"J6"	"3"
"Nueve de Octubre"	"J6"	"4"
"Universidad Católica"	"J6"	"5"
"Delfín SC"	"J6"	"6"
"Deportivo Cuenca"	"J6"	"7"
"LDU Quito"	"J6"	"8"
"Mushuc Runa"	"J6"	"9"
"Barcelona SC"	"J6"	"10"
"Gualaceo SC"	"J6"	"11"
"Guayaquil City"	"J6"	"12"
"Macará"	"J6"	"13"
"Cumbayá FC"	"J6"	"14"
"Orense SC"	"J6"	"15"
"Técnico Univ."	"J6"	"16"
"Emelec"	"J7"	"1"
"Aucas"	"J7"	"2"
"Independiente del Valle"	"J7"	"3"
"Nueve de Octubre"	"J7"	"4"
"Universidad Católica"	"J7"	"5"
"Delfín SC"	"J7"	"6"
"Deportivo Cuenca"	"J7"	"7"
"LDU Quito"	"J7"	"8"
"Mushuc Runa"	"J7"	"9"
"Barcelona SC"	"J7"	"10"
"Gualaceo SC"	"J7"	"11"
"Guayaquil City"	"J7"	"12"
